Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-04-01","2,399","5,437","2.52","0","648","204","3","7","859"
"2017-04-02","2,993","12,783","5.93","0","609","303","52","20","1,658"
"2017-04-03","2,862","11,537","5.36","0","674","237","35","37","1,441"
"2017-04-04","2,702","9,347","4.34","0","645","226","26","27","1,245"
"2017-04-05","2,840","11,313","5.25","0","719","273","10","20","1,414"
"2017-04-06","2,630","8,859","4.11","0","747","212","23","17","1,140"
"2017-04-07","3,035","12,951","6.01","0","770","308","24","40","1,696"
"2017-04-08","2,672","8,350","3.88","0","518","299","6","2","1,248"
"2017-04-09","3,225","14,700","6.82","0","501","443","36","3","2,023"
"2017-04-10","2,722","9,953","4.62","0","537","219","18","35","1,257"
"2017-04-11","2,886","12,046","5.59","0","681","232","23","48","1,457"
"2017-04-12","2,878","11,605","5.39","0","607","254","23","40","1,469"
"2017-04-13","3,100","13,783","6.4","0","728","297","38","50","1,775"
"2017-04-14","2,225","3,810","1.77","0","833","157","0","0","615"
"2017-04-15","2,610","8,277","3.84","0","743","251","17","0","1,140"
"2017-04-16","2,993","14,841","6.89","0","557","148","80","59","1,547"
"2017-04-17","2,860","11,977","5.56","0","615","247","37","23","1,437"
"2017-04-18","2,789","10,822","5.02","0","625","218","33","38","1,345"
"2017-04-19","2,694","9,167","4.25","0","751","224","34","23","1,240"
"2017-04-20","3,107","14,046","6.52","0","605","300","38","49","1,787"
"2017-04-21","3,019","13,535","6.28","0","720","252","34","51","1,633"
"2017-04-22","3,056","14,199","6.59","0","663","249","26","63","1,673"
"2017-04-23","3,223","15,980","7.42","0","258","358","85","5","1,979"
"2017-04-24","2,725","9,459","4.39","0","669","261","16","17","1,287"
"2017-04-25","2,708","9,592","4.45","0","720","231","23","25","1,252"
"2017-04-26","2,813","10,981","5.1","0","739","239","29","30","1,380"
"2017-04-27","2,960","13,097","6.07","0","762","232","34","53","1,554"
"2017-04-28","2,623","8,286","3.85","0","758","241","15","16","1,158"
"2017-04-29","2,547","7,361","3.42","0","813","225","9","15","1,053"
"2017-04-30","2,158","3,157","1.47","0","709","134","0","0","520"

