Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-06-01","3,151","16,432","7.63","0","491","426","35","11","1,957"
"2018-06-02","2,931","14,012","6.5","0","552","275","42","52","1,624"
"2018-06-03","2,683","11,725","5.44","0","652","169","19","56","1,217"
"2018-06-04","2,476","9,005","4.18","0","817","167","16","32","982"
"2018-06-05","2,771","10,899","5.06","0","537","321","28","20","1,455"
"2018-06-06","3,098","15,950","7.4","0","482","394","90","0","1,932"
"2018-06-07","2,757","11,211","5.2","0","566","351","9","3","1,434"
"2018-06-08","2,795","12,024","5.58","0","586","273","43","28","1,443"
"2018-06-09","2,591","9,412","4.37","0","587","246","12","26","1,176"
"2018-06-10","2,818","12,687","5.89","0","679","237","8","67","1,437"
"2018-06-11","2,557","8,298","3.85","0","610","293","21","0","1,176"
"2018-06-12","2,757","11,219","5.21","0","622","298","18","23","1,393"
"2018-06-13","2,865","13,626","6.32","0","474","303","78","4","1,584"
"2018-06-14","2,685","10,341","4.8","0","624","282","28","8","1,291"
"2018-06-15","2,830","13,375","6.21","0","617","219","47","45","1,436"
"2018-06-16","2,716","10,024","4.65","0","635","356","21","2","1,420"
"2018-06-17","2,459","7,030","3.26","0","647","279","7","0","1,058"
"2018-06-18","2,466","7,043","3.27","0","599","275","8","0","1,044"
"2018-06-19","2,642","9,838","4.57","0","649","280","14","18","1,259"
"2018-06-20","2,708","10,769","5","0","635","253","13","39","1,302"
"2018-06-21","2,579","8,227","3.82","0","662","318","7","0","1,202"
"2018-06-22","3,026","15,144","7.03","0","561","277","51","58","1,722"
"2018-06-23","3,041","15,817","7.34","0","480","270","22","79","1,731"
"2018-06-24","2,557","8,119","3.77","0","668","296","10","3","1,167"
"2018-06-25","2,473","6,978","3.24","0","595","291","0","0","1,062"
"2018-06-26","3,009","15,081","7","0","519","296","15","65","1,705"
"2018-06-27","2,651","9,432","4.38","0","733","267","10","31","1,249"
"2018-06-28","2,473","7,377","3.42","0","707","259","22","0","1,052"
"2018-06-29","2,588","9,407","4.37","0","573","250","25","16","1,179"
"2018-06-30","3,119","16,985","7.88","0","517","322","16","66","1,849"

