Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-10-01","3,034","15,530","7.21","0","285","338","49","19","1,770"
"2018-10-02","2,684","10,611","4.93","0","585","268","31","22","1,311"
"2018-10-03","2,944","13,615","6.32","0","575","346","30","24","1,661"
"2018-10-04","2,845","11,790","5.47","0","552","381","11","11","1,567"
"2018-10-05","2,745","11,062","5.13","0","646","294","23","21","1,386"
"2018-10-06","3,061","15,735","7.3","0","879","86","18","63","948"
"2018-10-07","2,698","10,323","4.79","0","1,440","0","0","0","0"
"2018-10-08","2,706","10,441","4.85","0","1,440","0","0","0","0"
"2018-10-09","2,846","11,629","5.4","0","1,125","171","11","0","662"
"2018-10-10","3,041","15,282","7.09","0","443","305","45","47","1,760"
"2018-10-11","2,970","14,648","6.8","0","585","251","18","75","1,618"
"2018-10-12","3,059","15,434","7.16","0","531","385","6","29","1,799"
"2018-10-13","2,967","13,827","6.42","0","511","383","15","21","1,711"
"2018-10-14","2,647","9,741","4.52","0","614","314","8","0","1,267"
"2018-10-15","2,607","8,991","4.17","0","564","313","0","0","1,214"
"2018-10-16","3,333","19,819","9.2","0","428","354","14","69","2,099"
"2018-10-17","2,043","3,195","1.48","0","743","113","5","1","451"
"2018-10-18","1,716","0","0","0","1,440","0","0","0","0"
"2018-10-19","2,030","3,428","1.59","0","1,224","98","0","0","414"
"2018-10-20","3,139","16,693","7.75","0","462","338","19","66","1,898"
"2018-10-21","2,575","8,126","3.77","0","627","306","9","4","1,193"
"2018-10-22","3,034","17,572","8.16","0","669","158","30","108","1,645"
"2018-10-23","2,772","12,481","5.79","0","641","230","8","59","1,376"
"2018-10-24","2,676","10,921","5.07","0","625","222","24","42","1,266"
"2018-10-25","2,573","8,688","4.03","0","507","279","15","10","1,176"
"2018-10-26","3,449","21,689","10.07","0","411","322","48","93","2,251"
"2018-10-27","3,138","15,637","7.26","0","459","423","55","12","1,967"
"2018-10-28","2,558","8,655","4.02","0","549","278","5","5","1,146"
"2018-10-29","3,204","17,694","8.21","0","466","319","14","79","1,937"
"2018-10-30","2,955","15,313","7.11","0","451","228","15","79","1,589"
"2018-10-31","2,921","12,751","5.92","0","617","343","32","28","1,636"

