Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-05-01","2,663","8,230","3.82","15","555","279","8","18","1,268"
"2021-05-02","3,953","22,759","9.56","102","432","303","129","85","2,805"
"2021-05-03","3,549","12,887","5.79","81","520","279","111","35","2,085"
"2021-05-04","3,719","19,769","9.18","48","464","308","43","113","2,494"
"2021-05-05","3,095","11,963","5.55","38","555","275","25","38","1,706"
"2021-05-06","3,943","24,790","11.51","110","462","239","78","153","2,699"
"2021-05-07","3,305","13,460","5.86","39","566","216","74","68","1,933"
"2021-05-08","3,441","10,422","4.61","11","491","276","125","36","2,176"
"2021-05-09","2,804","10,295","4.77","7","478","289","29","13","1,413"
"2021-05-10","2,616","7,515","3.49","3","535","278","22","2","1,196"
"2021-05-11","3,640","17,540","8.1","5","431","322","48","82","2,385"
"2021-05-12","3,157","14,474","6.72","0","675","214","41","81","1,788"
"2021-05-13","3,297","14,838","6.89","0","495","234","26","85","1,888"
"2021-05-14","2,586","7,219","3.35","0","664","238","10","31","1,168"
"2021-05-15","3,151","14,564","6.69","0","502","232","27","74","1,721"
"2021-05-16","2,357","5,252","2.44","0","695","195","0","0","720"
"2021-05-17","3,348","15,943","7.4","0","627","212","18","112","1,985"
"2021-05-18","2,752","9,419","4.37","0","597","291","32","15","1,392"
"2021-05-19","2,507","5,682","2.64","0","760","271","0","0","999"
"2021-05-20","2,537","6,441","2.99","0","638","261","11","9","1,098"
"2021-05-21","2,958","10,154","4.71","0","530","242","25","39","1,512"
"2021-05-22","2,866","13,225","6.14","0","628","210","7","58","1,319"
"2021-05-23","3,061","13,370","6.21","0","439","256","3","70","1,619"
"2021-05-24","2,936","9,512","4.42","0","554","267","31","34","1,529"
"2021-05-25","2,744","9,593","4.45","0","588","339","8","0","1,378"
"2021-05-26","2,698","7,838","3.64","0","676","248","22","24","1,287"
"2021-05-27","3,474","15,433","7.16","0","527","277","12","99","2,126"
"2021-05-28","2,939","12,472","5.78","0","583","239","24","54","1,518"
"2021-05-29","3,113","14,525","6.74","0","530","254","1","65","1,646"
"2021-05-30","2,976","12,777","5.93","0","630","176","22","83","1,542"
"2021-05-31","3,493","15,671","7.27","0","503","242","41","85","2,095"
