Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-02-01","2,907","15,742","7.31","0","392","248","60","41","1,607"
"2019-02-02","3,371","21,433","9.95","0","418","327","76","81","2,219"
"2019-02-03","2,285","5,800","2.69","0","431","205","23","4","846"
"2019-02-04","2,543","9,981","4.63","0","598","271","11","0","1,161"
"2019-02-05","2,892","12,380","5.75","0","577","371","28","7","1,573"
"2019-02-06","2,617","10,317","4.79","0","618","282","13","16","1,257"
"2019-02-07","2,889","15,690","7.28","0","535","196","75","59","1,565"
"2019-02-08","3,075","17,945","8.33","0","447","263","58","67","1,825"
"2019-02-09","3,043","16,788","7.79","0","473","274","40","74","1,781"
"2019-02-10","2,811","14,151","6.57","0","444","226","75","35","1,495"
"2019-02-11","2,950","15,754","7.31","0","488","242","79","50","1,667"
"2019-02-12","2,931","15,792","7.33","0","564","226","81","51","1,637"
"2019-02-13","2,668","10,741","4.99","0","539","299","55","3","1,365"
"2019-02-14","2,409","7,544","3.5","0","593","249","6","1","984"
"2019-02-15","3,022","15,319","7.11","0","599","374","55","24","1,828"
"2019-02-16","3,211","19,504","9.05","0","606","276","53","42","1,665"
"2019-02-17","3,112","19,046","8.84","0","486","208","36","105","1,804"
"2019-02-18","2,736","12,583","5.84","0","533","290","40","9","1,414"
"2019-02-19","2,556","8,896","4.13","0","621","279","44","3","1,208"
"2019-02-20","3,317","21,272","9.87","0","391","271","55","106","2,109"
"2019-02-21","2,215","5,011","2.33","0","715","179","19","1","724"
"2019-02-22","2,607","10,088","4.68","0","479","321","5","6","1,276"
"2019-02-23","3,226","19,949","9.26","0","387","261","83","83","2,012"
"2019-02-24","3,277","21,520","9.99","0","412","231","96","83","2,039"
"2019-02-25","2,789","12,422","5.77","0","525","321","67","2","1,523"
"2019-02-26","2,900","14,234","6.61","0","473","307","57","31","1,645"
"2019-02-27","2,503","9,604","4.46","0","392","218","33","17","1,108"
"2019-02-28","2,788","12,465","5.79","0","548","310","58","6","1,499"

