Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-12-01","3,232","20,247","9.4","0","492","233","70","99","1,982"
"2019-12-02","3,097","18,286","8.49","0","373","245","75","66","1,836"
"2019-12-03","3,997","32,731","15.19","0","402","180","131","193","2,872"
"2019-12-04","2,616","10,217","4.74","0","590","295","15","7","1,259"
"2019-12-05","3,386","23,911","11.1","0","653","184","99","115","2,147"
"2019-12-06","3,151","19,564","9.08","0","981","225","24","112","1,859"
"2019-12-07","2,978","17,294","8.03","0","604","143","65","99","1,612"
"2019-12-08","3,120","17,645","8.19","0","425","349","62","31","1,917"
"2019-12-09","2,446","8,340","3.87","0","602","227","18","5","1,011"
"2019-12-10","2,612","10,307","4.78","0","534","271","12","15","1,235"
"2019-12-11","2,532","9,953","4.62","0","632","195","43","18","1,107"
"2019-12-12","2,833","12,793","5.94","0","450","355","35","6","1,573"
"2019-12-13","2,720","11,758","5.46","0","591","257","46","28","1,377"
"2019-12-14","2,688","12,281","5.7","0","724","219","40","26","1,291"
"2019-12-15","2,910","13,789","6.4","0","613","365","47","7","1,676"
"2019-12-16","2,413","8,320","3.86","0","852","172","31","16","943"
"2019-12-17","2,795","13,007","6.04","0","1,015","281","39","22","1,465"
"2019-12-18","2,785","13,171","6.11","0","737","301","9","28","1,457"
"2019-12-19","2,699","12,090","5.61","0","921","246","23","35","1,333"
"2019-12-20","2,654","11,215","5.21","0","690","227","17","35","1,241"
"2019-12-21","2,765","11,596","5.37","0","726","275","34","14","1,407"
"2019-12-22","2,922","10,045","4.64","2","524","219","50","33","1,511"
"2019-12-23","2,786","9,450","4.38","6","660","277","13","15","1,350"
"2019-12-24","2,814","9,283","4.31","12","529","277","32","11","1,411"
"2019-12-25","2,993","14,055","6.52","28","566","201","20","82","1,582"
"2019-12-26","2,756","10,879","5.05","4","623","315","4","8","1,386"
"2019-12-27","4,183","16,652","7.73","11","494","219","199","107","3,018"
"2019-12-28","3,045","11,557","5.37","7","1,072","332","17","19","1,643"
"2019-12-29","3,133","13,027","6.05","42","534","216","25","63","1,683"
"2019-12-30","2,595","8,590","3.99","2","593","230","16","17","1,147"
"2019-12-31","3,371","16,847","7.82","20","429","266","29","79","2,026"

