Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-09-01","3,029","14,271","6.62","41","627","216","11","69","1,581"
"2020-09-02","3,547","19,064","8.85","68","480","265","35","96","2,174"
"2020-09-03","3,915","20,851","9.65","81","462","230","56","149","2,638"
"2020-09-04","2,682","8,678","4.03","15","614","296","5","6","1,249"
"2020-09-05","2,972","14,917","6.92","51","651","160","21","87","1,530"
"2020-09-06","3,149","17,036","7.9","22","555","247","12","92","1,778"
"2020-09-07","2,987","14,405","6.67","72","724","166","29","75","1,485"
"2020-09-08","2,484","6,966","3.23","13","606","275","0","0","1,040"
"2020-09-09","2,201","4,295","1.99","4","771","169","8","0","656"
"2020-09-10","2,393","5,309","2.47","0","756","177","31","6","883"
"2020-09-11","2,659","8,682","4.03","11","615","262","25","7","1,202"
"2020-09-12","3,322","18,071","8.39","72","506","312","34","66","1,982"
"2020-09-13","2,929","13,278","6.16","48","696","175","30","67","1,474"
"2020-09-14","3,227","18,090","8.4","122","565","248","32","76","1,909"
"2020-09-15","2,685","9,089","4.22","36","692","193","7","38","1,166"
"2020-09-16","2,725","8,553","3.96","8","637","313","8","0","1,297"
"2020-09-17","3,111","16,318","7.57","42","589","213","33","68","1,636"
"2020-09-18","4,068","20,136","7.68","45","348","366","105","96","2,952"
"2020-09-19","3,092","14,104","6.55","50","581","231","25","63","1,683"
"2020-09-20","3,209","13,406","6.06","35","456","291","69","36","1,885"
"2020-09-21","2,661","8,437","3.92","12","627","227","21","19","1,226"
"2020-09-22","3,248","17,789","8.26","59","549","243","29","85","1,888"
"2020-09-23","3,135","15,823","7.27","84","585","222","12","81","1,699"
"2020-09-24","2,407","5,840","2.71","2","711","213","0","0","827"
"2020-09-25","2,740","7,333","3.41","5","600","296","18","2","1,274"
"2020-09-26","4,036","20,993","9.67","85","467","285","51","149","2,825"
"2020-09-27","2,351","5,805","2.7","0","631","252","0","0","881"
"2020-09-28","3,280","16,179","7.5","52","565","190","17","105","1,880"
"2020-09-29","3,003","14,438","6.7","68","592","209","24","63","1,491"
"2020-09-30","2,498","7,331","3.4","10","675","197","5","23","997"

