Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-02-01","2,364","5,631","2.61","0","601","213","14","0","857"
"2018-02-02","2,595","8,352","3.88","0","645","277","23","1","1,169"
"2018-02-03","2,796","11,685","5.42","0","596","232","22","47","1,376"
"2018-02-04","2,751","10,729","4.98","0","588","270","12","33","1,351"
"2018-02-05","2,523","8,258","3.83","0","750","211","46","2","1,053"
"2018-02-06","2,804","11,989","5.56","0","1,050","236","24","41","1,387"
"2018-02-07","2,429","7,011","3.25","0","721","175","12","25","904"
"2018-02-08","2,737","11,012","5.11","0","518","251","37","19","1,324"
"2018-02-09","2,775","10,323","4.79","0","759","285","23","20","1,356"
"2018-02-10","2,632","9,443","4.38","0","1,440","0","0","0","0"
"2018-02-11","2,776","11,533","5.35","0","1,440","0","0","0","0"
"2018-02-12","1,879","6,431","2.99","0","1,440","0","0","0","0"
"2018-02-13","1,752","0","0","0","1,440","0","0","0","0"
"2018-02-14","1,886","979","0.45","0","1,268","52","0","0","184"
"2018-02-15","2,565","6,592","3.06","0","647","259","0","0","987"
"2018-02-16","2,458","6,693","3.11","0","646","211","7","14","935"
"2018-02-17","3,548","22,486","10.44","0","389","282","75","101","2,323"
"2018-02-18","2,901","11,176","5.19","0","582","353","11","27","1,572"
"2018-02-19","3,102","16,250","7.54","0","443","223","49","71","1,729"
"2018-02-20","3,305","18,867","8.76","0","445","263","69","84","2,031"
"2018-02-21","3,131","14,968","6.95","0","407","360","72","17","1,883"
"2018-02-22","3,350","20,296","9.42","0","464","212","43","117","2,017"
"2018-02-23","3,165","16,797","7.8","0","535","273","62","49","1,846"
"2018-02-24","2,676","10,126","4.7","0","550","242","1","25","1,203"
"2018-02-25","3,411","21,131","9.81","0","419","191","102","102","2,105"
"2018-02-26","3,014","14,432","6.7","0","460","280","23","49","1,645"
"2018-02-27","2,735","9,595","4.45","0","602","317","20","3","1,343"
"2018-02-28","2,705","9,627","4.47","0","574","243","21","33","1,266"

