Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-02-01","3,658","18,742","8.69","54","1,057","212","53","118","2,356"
"2020-02-02","3,447","18,290","8.49","61","540","202","34","116","2,065"
"2020-02-03","3,429","17,191","7.98","7","493","326","17","85","2,142"
"2020-02-04","2,983","12,825","5.94","10","630","265","15","49","1,588"
"2020-02-05","3,461","19,672","9.13","62","1,047","242","38","113","2,167"
"2020-02-06","3,010","10,171","4.71","13","1,110","239","35","56","1,596"
"2020-02-07","2,492","5,609","2.6","8","1,176","193","4","7","890"
"2020-02-08","2,104","3,428","1.59","4","892","118","2","8","511"
"2020-02-09","2,271","4,336","2.01","2","713","172","0","0","680"
"2020-02-10","2,824","8,383","3.89","1","690","224","19","35","1,317"
"2020-02-11","3,403","16,717","7.71","54","513","243","37","95","2,051"
"2020-02-12","2,818","7,941","3.68","1","543","228","32","41","1,385"
"2020-02-13","3,543","17,810","8.27","34","728","288","37","87","2,280"
"2020-02-14","3,624","19,667","8.04","85","459","422","55","36","2,451"
"2020-02-15","3,472","17,561","8.15","93","604","98","36","120","1,657"
"2020-02-16","3,713","17,019","7.88","62","1,440","0","0","0","0"
"2020-02-17","3,991","21,050","9.77","136","1,440","0","0","0","0"
"2020-02-18","2,869","10,887","5.06","58","1,440","0","0","0","0"
"2020-02-19","3,290","12,647","5.87","36","1,440","0","0","0","0"
"2020-02-20","2,896","9,167","4.26","14","1,440","0","0","0","0"
"2020-02-21","3,035","11,877","5.49","9","1,440","0","0","0","0"
"2020-02-22","2,509","7,976","3.7","2","1,371","69","0","0","233"
"2020-02-23","3,333","15,111","6.63","54","1,005","336","56","43","2,062"
"2020-02-24","3,572","17,723","8.22","94","1,067","168","75","130","2,219"
"2020-02-25","3,570","19,702","9.15","116","1,016","245","65","114","2,296"
"2020-02-26","3,092","15,477","7.19","71","1,088","280","18","54","1,747"
"2020-02-27","3,266","13,436","6.24","19","1,024","340","39","37","1,967"
"2020-02-28","2,541","6,513","2.96","5","1,185","245","8","2","1,036"
"2020-02-29","2,965","11,847","5.47","30","589","300","17","31","1,605"

