Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-02-01","2,520","7,634","3.54","4","651","265","4","8","1,070"
"2021-02-02","3,206","15,266","7.08","17","582","220","20","93","1,812"
"2021-02-03","2,840","9,358","4.34","6","576","210","26","51","1,381"
"2021-02-04","3,257","15,609","7.25","38","623","220","20","89","1,798"
"2021-02-05","2,783","8,248","3.79","3","534","297","27","2","1,389"
"2021-02-06","2,493","5,851","2.72","3","666","228","4","12","987"
"2021-02-07","2,174","3,511","1.63","3","761","170","0","0","616"
"2021-02-08","2,727","9,223","4.28","5","643","253","15","4","1,115"
"2021-02-09","3,275","16,403","7.62","21","662","252","3","87","1,847"
"2021-02-10","3,204","16,339","7.58","18","527","251","13","41","1,444"
"2021-02-11","3,040","14,678","6.81","24","667","192","8","86","1,607"
"2021-02-12","2,548","7,150","3.32","7","605","270","0","0","1,049"
"2021-02-13","3,483","17,680","8.21","25","469","309","5","94","2,147"
"2021-02-14","2,278","4,832","2.24","1","736","209","0","0","767"
"2021-02-15","2,722","10,361","4.81","10","507","235","10","37","1,278"
"2021-02-16","3,219","16,124","7.48","14","487","262","16","86","1,851"
"2021-02-17","2,382","6,085","2.83","6","567","243","0","0","903"
"2021-02-18","2,567","6,902","3.21","7","607","270","0","0","1,037"
"2021-02-19","3,095","15,714","7.29","18","764","172","11","46","1,171"
"2021-02-20","3,190","16,155","7.5","17","1,146","250","11","33","1,401"
"2021-02-21","2,500","8,390","3.89","1","723","192","11","27","1,013"
"2021-02-22","3,091","15,476","7.18","22","552","198","9","88","1,615"
"2021-02-23","2,946","10,849","5.04","14","534","223","37","46","1,503"
"2021-02-24","3,317","14,536","6.75","6","497","282","41","52","1,838"
"2021-02-25","3,439","18,225","8.46","24","562","198","17","128","2,081"
"2021-02-26","3,037","10,396","4.83","15","501","350","25","16","1,685"
"2021-02-27","3,129","14,490","6.72","15","681","227","19","79","1,712"
"2021-02-28","2,851","12,866","5.97","20","542","219","13","63","1,410"

