Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-01-01","3,097","13,803","6.4","38","586","223","31","71","1,703"
"2020-01-02","3,794","21,507","9.94","23","515","291","68","119","2,594"
"2020-01-03","3,772","15,452","7.17","29","409","263","121","73","2,427"
"2020-01-04","2,900","10,737","4.93","13","473","324","15","17","1,541"
"2020-01-05","3,438","20,095","9.32","15","558","210","44","130","2,140"
"2020-01-06","2,905","11,402","5.29","44","640","280","14","43","1,514"
"2020-01-07","3,034","14,408","6.69","20","653","184","3","88","1,597"
"2020-01-08","2,960","11,741","5.45","12","572","321","16","18","1,623"
"2020-01-09","3,100","13,944","6.47","34","560","270","25","65","1,755"
"2020-01-10","4,056","18,192","8.44","41","405","256","141","97","2,781"
"2020-01-11","3,183","14,332","6.61","2","555","320","49","18","1,842"
"2020-01-12","3,190","16,328","7.58","31","576","266","19","83","1,849"
"2020-01-13","2,951","13,304","6.17","59","629","181","25","66","1,507"
"2020-01-14","2,717","9,102","4.23","4","591","279","13","2","1,293"
"2020-01-15","3,276","14,880","6.89","20","516","219","56","82","1,916"
"2020-01-16","3,012","11,191","5.2","11","639","313","16","18","1,627"
"2020-01-17","3,765","15,870","7.32","35","417","299","146","50","2,564"
"2020-01-18","3,328","16,480","7.6","53","526","271","32","83","2,017"
"2020-01-19","2,978","9,722","4.51","16","1,090","284","35","31","1,602"
"2020-01-20","2,359","5,339","2.48","0","1,247","181","8","4","832"
"2020-01-21","3,473","18,184","8.38","8","897","329","53","63","2,226"
"2020-01-22","2,709","7,359","3.42","4","613","284","12","12","1,288"
"2020-01-23","3,333","14,274","6.63","15","495","355","56","33","2,051"
"2020-01-24","3,730","15,709","7.29","47","535","341","82","67","2,508"
"2020-01-25","2,962","9,316","4.33","20","998","247","68","23","1,583"
"2020-01-26","3,174","13,393","6.2","23","702","299","17","44","1,799"
"2020-01-27","2,808","8,139","3.64","19","551","249","28","13","1,340"
"2020-01-28","2,400","5,113","2.37","3","675","212","0","0","885"
"2020-01-29","2,646","6,530","3.03","3","626","208","35","12","1,106"
"2020-01-30","2,827","9,593","4.45","17","641","206","41","32","1,392"
"2020-01-31","4,409","20,411","9.48","56","360","277","133","109","2,966"

