Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-12-01","3,435","21,775","10.11","0","807","317","94","67","2,263"
"2018-12-02","2,085","3,739","1.74","0","581","113","16","0","501"
"2018-12-03","2,529","8,084","3.75","0","1,145","266","21","8","1,129"
"2018-12-04","3,480","22,420","10.41","0","858","300","65","96","2,284"
"2018-12-05","3,183","18,757","8.71","0","648","253","39","76","1,871"
"2018-12-06","2,338","5,906","2.74","0","1,077","214","10","0","852"
"2018-12-07","2,408","6,326","2.94","0","523","262","0","0","960"
"2018-12-08","2,292","6,665","3.09","0","835","124","12","27","747"
"2018-12-09","2,681","10,393","4.82","0","1,028","282","8","18","1,286"
"2018-12-10","2,685","10,082","4.68","0","571","301","29","4","1,322"
"2018-12-11","3,218","19,812","9.2","0","676","213","78","78","1,914"
"2018-12-12","2,721","11,478","5.34","0","912","259","28","16","1,324"
"2018-12-13","2,618","9,322","4.33","0","488","258","32","16","1,218"
"2018-12-14","2,681","9,728","4.52","0","567","314","6","13","1,312"
"2018-12-15","2,813","11,096","5.15","0","646","366","10","11","1,516"
"2018-12-16","2,499","7,351","3.41","0","970","268","14","4","1,083"
"2018-12-17","2,573","8,686","4.03","0","570","278","11","4","1,166"
"2018-12-18","3,543","23,780","11.04","0","553","294","65","103","2,348"
"2018-12-19","3,242","19,618","9.11","0","852","247","129","48","2,006"
"2018-12-20","2,556","9,070","4.21","0","721","240","23","6","1,118"
"2018-12-21","2,688","10,666","4.95","0","953","266","21","20","1,296"
"2018-12-22","2,648","9,725","4.51","0","561","274","17","19","1,256"
"2018-12-23","2,232","5,020","2.33","0","667","170","5","6","703"
"2018-12-24","3,052","16,552","7.68","0","499","264","30","61","1,718"
"2018-12-25","3,021","16,267","7.55","0","552","203","13","101","1,639"
"2018-12-26","2,464","8,172","3.79","0","804","216","10","7","995"
"2018-12-27","2,280","15,146","7.03","0","921","345","3","7","975"
"2018-12-28","2,570","8,763","4.07","0","593","283","7","0","1,154"
"2018-12-29","2,394","6,671","3.1","0","601","223","3","6","911"
"2018-12-30","2,844","13,576","6.3","0","716","228","27","58","1,468"
"2018-12-31","2,806","13,274","6.16","0","1,059","181","18","74","1,369"

