Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2022-03-01","3,005","14,352","6.66","65","1,139","200","28","73","1,589"
"2022-03-02","3,233","11,898","5.52","19","570","256","65","49","1,901"
"2022-03-03","3,677","22,456","10.42","88","537","230","75","112","2,288"
"2022-03-04","2,458","5,862","2.72","14","695","191","7","11","937"
"2022-03-05","3,333","15,497","7.19","33","525","281","38","75","2,036"
"2022-03-06","3,483","19,796","9.19","74","492","305","47","86","2,239"
"2022-03-07","3,586","23,050","10.7","114","488","330","44","76","2,356"
"2022-03-08","3,176","12,740","5.91","34","598","120","73","98","1,786"
"2022-03-09","4,379","21,979","9.95","165","878","324","84","154","3,240"
"2022-03-10","3,130","12,600","5.85","77","608","286","32","33","1,764"
"2022-03-11","2,864","11,334","5.26","34","611","225","22","44","1,443"
"2022-03-12","2,951","12,049","5.59","49","588","224","54","31","1,509"
"2022-03-13","2,823","9,427","4.38","20","715","242","43","22","1,422"
"2022-03-14","4,258","23,147","10.7","219","393","257","97","146","3,009"
"2022-03-15","3,030","12,738","5.9","22","1,081","311","21","27","1,686"
"2022-03-16","3,702","19,486","9.05","62","454","317","59","84","2,446"
"2022-03-17","2,806","16,946","7.86","104","712","106","39","80","1,382"
