Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-11-01","3,098","15,793","7.33","0","482","429","59","11","1,960"
"2019-11-02","3,056","17,284","8.02","0","476","248","63","69","1,782"
"2019-11-03","2,500","9,024","4.19","0","677","228","13","12","1,066"
"2019-11-04","2,973","15,823","7.34","0","609","245","66","57","1,678"
"2019-11-05","2,782","12,908","5.99","0","624","241","21","56","1,425"
"2019-11-06","2,304","6,648","3.09","0","807","193","4","3","817"
"2019-11-07","2,767","13,344","6.19","0","577","259","49","23","1,436"
"2019-11-08","2,728","11,618","5.39","0","500","326","43","0","1,440"
"2019-11-09","2,878","13,673","6.35","0","444","361","32","6","1,620"
"2019-11-10","3,257","20,791","9.65","0","512","241","37","116","2,002"
"2019-11-11","3,105","17,238","8","0","512","350","98","14","1,926"
"2019-11-12","2,634","10,960","5.09","0","547","242","30","28","1,260"
"2019-11-13","3,207","19,676","9.13","0","485","306","75","48","1,992"
"2019-11-14","2,863","13,172","6.11","0","551","385","29","5","1,636"
"2019-11-15","3,309","19,716","9.15","0","380","433","57","22","2,184"
"2019-11-16","2,820","15,806","7.34","0","807","102","52","98","1,411"
"2019-11-17","3,069","17,685","8.21","0","868","230","87","68","1,808"
"2019-11-18","3,288","19,575","9.09","0","466","358","74","47","2,128"
"2019-11-19","3,058","18,045","8.38","0","560","204","66","72","1,740"
"2019-11-20","2,485","9,224","4.28","0","623","184","38","19","1,036"
"2019-11-21","2,712","12,196","5.66","0","475","246","98","4","1,404"
"2019-11-22","3,072","16,029","7.43","0","391","378","75","17","1,903"
"2019-11-23","3,180","19,332","8.97","0","433","247","51","99","1,930"
"2019-11-24","3,047","17,631","8.18","0","524","204","41","94","1,719"
"2019-11-25","3,070","17,115","7.94","0","581","289","40","61","1,796"
"2019-11-26","3,576","25,519","11.85","0","423","267","67","134","2,411"
"2019-11-27","2,976","15,817","7.34","0","574","253","72","56","1,699"
"2019-11-28","2,225","5,035","2.34","0","631","196","0","0","722"
"2019-11-29","2,311","6,144","2.85","0","773","215","0","0","816"
"2019-11-30","2,882","13,664","6.34","0","487","329","75","7","1,639"

