Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-08-01","2,924","15,077","7","0","594","272","3","73","1,612"
"2019-08-02","3,015","16,743","7.77","0","747","231","14","92","1,674"
"2019-08-03","2,624","10,942","5.08","0","668","220","22","43","1,238"
"2019-08-04","2,316","5,841","2.71","0","1,117","246","0","0","881"
"2019-08-05","2,869","14,387","6.68","0","564","242","17","72","1,538"
"2019-08-06","2,954","16,053","7.45","0","503","250","14","78","1,636"
"2019-08-07","3,030","15,064","6.99","0","446","457","22","1","1,867"
"2019-08-08","3,187","18,258","8.47","0","510","400","59","20","2,022"
"2019-08-09","3,288","20,668","9.59","0","490","285","53","83","2,056"
"2019-08-10","2,447","7,154","3.32","0","616","301","0","0","1,075"
"2019-08-11","2,587","9,297","4.32","0","654","301","15","10","1,240"
"2019-08-12","2,647","12,126","5.63","0","737","150","6","75","1,189"
"2019-08-13","2,412","7,968","3.7","0","776","239","17","0","999"
"2019-08-14","2,488","8,387","3.89","0","667","223","20","20","1,053"
"2019-08-15","2,344","6,920","3.21","0","805","180","11","23","866"
"2019-08-16","2,568","9,445","4.38","0","698","261","7","24","1,172"
"2019-08-17","2,827","13,884","6.44","0","582","216","3","82","1,456"
"2019-08-18","2,690","11,793","5.47","0","662","206","9","65","1,289"
"2019-08-19","2,521","9,472","4.4","0","632","212","77","0","1,135"
"2019-08-20","2,432","7,793","3.62","0","745","225","12","15","997"
"2019-08-21","2,481","7,793","3.62","0","751","273","5","7","1,073"
"2019-08-22","2,632","10,287","4.77","0","537","311","26","3","1,307"
"2019-08-23","2,684","11,643","5.4","0","541","251","15","39","1,319"
"2019-08-24","2,953","15,267","7.09","0","551","276","8","73","1,648"
"2019-08-25","2,711","12,582","5.84","0","738","186","8","74","1,303"
"2019-08-26","2,610","10,082","4.68","0","1,118","293","25","4","1,270"
"2019-08-27","2,464","8,280","3.84","0","713","233","22","15","1,056"
"2019-08-28","2,645","10,380","4.82","0","689","284","12","15","1,275"
"2019-08-29","2,982","15,867","7.36","0","495","290","23","65","1,711"
"2019-08-30","2,975","16,826","7.81","0","667","178","15","110","1,609"
"2019-08-31","2,887","13,780","6.39","0","499","296","5","64","1,595"

