Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-08-01","4,134","22,091","10.17","0","437","342","56","95","2,740"
"2021-08-02","3,190","14,342","6.66","0","650","231","12","77","1,776"
"2021-08-03","3,378","15,509","7.2","0","514","303","11","74","2,064"
"2021-08-04","3,246","11,463","5.32","0","538","254","69","62","1,908"
"2021-08-05","3,459","17,446","8.1","0","527","226","42","106","2,060"
"2021-08-06","3,028","14,007","6.5","0","556","244","3","71","1,625"
"2021-08-07","2,826","8,996","4.18","0","549","345","18","4","1,465"
"2021-08-08","3,424","16,835","7.8","0","480","277","36","83","2,097"
"2021-08-09","4,421","23,671","10.96","0","368","255","94","174","3,151"
"2021-08-10","3,380","17,233","8","0","570","258","9","91","2,009"
"2021-08-11","3,742","19,713","9.15","0","558","263","38","115","2,427"
"2021-08-12","2,796","10,476","4.86","0","597","275","16","30","1,377"
"2021-08-13","2,801","9,488","4.38","0","586","247","13","34","1,351"
"2021-08-14","3,038","11,753","5.44","0","596","332","27","15","1,654"
"2021-08-15","3,329","15,146","7.03","0","544","232","29","86","1,973"
"2021-08-16","3,086","13,980","6.49","0","645","170","13","95","1,665"
"2021-08-17","2,550","6,987","3.24","0","697","257","0","0","1,020"
"2021-08-18","3,043","8,647","4.01","0","554","258","44","45","1,656"
"2021-08-19","2,744","7,560","3.51","0","570","276","17","16","1,283"
"2021-08-20","2,762","8,770","4.07","0","631","327","7","3","1,340"
"2021-08-21","3,219","15,251","7.08","0","546","289","2","71","1,852"
"2021-08-22","2,925","11,948","5.55","0","562","197","3","69","1,500"
"2021-08-23","3,369","14,451","6.71","0","620","250","33","75","1,967"
"2021-08-24","3,361","14,236","6.61","0","570","272","12","70","1,994"
"2021-08-25","4,816","23,398","10.85","0","428","200","73","249","3,621"
"2021-08-26","2,703","8,233","3.82","0","513","295","11","5","1,262"
"2021-08-27","3,282","15,161","7.04","0","596","201","14","102","1,881"
"2021-08-28","2,844","9,905","4.6","0","523","362","16","5","1,465"
"2021-08-29","2,363","5,445","2.53","0","641","239","0","0","885"
"2021-08-30","3,183","14,517","6.74","0","774","196","10","100","1,773"
"2021-08-31","2,537","6,830","3.17","0","685","248","13","3","1,049"
