Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-09-01","3,055","17,967","8.34","0","620","195","25","107","1,714"
"2019-09-02","2,885","14,581","6.77","0","585","238","11","77","1,541"
"2019-09-03","3,268","21,560","10.01","0","438","202","153","64","2,052"
"2019-09-04","2,434","7,529","3.49","0","702","224","10","15","984"
"2019-09-05","2,449","7,779","3.61","0","657","250","33","0","1,046"
"2019-09-06","2,508","8,375","3.89","0","776","260","10","15","1,100"
"2019-09-07","2,797","14,104","6.55","0","595","190","19","73","1,406"
"2019-09-08","2,847","14,190","6.59","0","641","254","6","63","1,501"
"2019-09-09","2,528","8,446","3.92","0","597","304","20","0","1,183"
"2019-09-10","2,970","16,077","7.46","0","664","233","9","84","1,626"
"2019-09-11","2,312","5,514","2.56","0","671","253","0","0","883"
"2019-09-12","2,709","12,712","5.9","0","668","178","7","73","1,282"
"2019-09-13","2,696","11,225","5.21","0","567","280","25","23","1,346"
"2019-09-14","2,356","6,277","2.91","0","705","261","0","0","935"
"2019-09-15","2,862","14,868","6.9","0","558","224","11","75","1,505"
"2019-09-16","2,649","12,406","5.76","0","742","131","19","73","1,182"
"2019-09-17","2,414","8,048","3.74","0","640","198","14","19","956"
"2019-09-18","2,253","5,455","2.53","0","730","202","8","0","772"
"2019-09-19","2,438","7,626","3.54","0","754","270","9","2","1,044"
"2019-09-20","2,873","14,521","6.74","0","644","229","11","80","1,525"
"2019-09-21","2,403","7,253","3.37","0","714","266","7","2","1,012"
"2019-09-22","2,027","2,776","1.29","0","1,309","131","0","0","458"
"2019-09-23","2,941","14,952","6.94","0","589","338","74","7","1,719"
"2019-09-24","2,716","12,851","5.96","0","951","244","64","11","1,374"
"2019-09-25","3,218","19,447","9.03","0","501","317","31","76","1,997"
"2019-09-26","2,346","6,916","3.21","0","475","236","12","0","920"
"2019-09-27","2,520","9,649","4.48","0","713","196","38","23","1,085"
"2019-09-28","2,709","13,410","6.22","0","653","162","16","74","1,295"
"2019-09-29","2,191","4,680","2.17","0","795","187","0","0","677"
"2019-09-30","2,792","13,123","6.09","0","532","292","49","11","1,472"

