Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-06-01","3,191","16,444","7.6","99","588","284","20","52","1,725"
"2020-06-02","3,174","16,799","7.79","37","589","211","41","90","1,822"
"2020-06-03","2,986","10,642","4.94","11","538","361","38","7","1,676"
"2020-06-04","3,149","16,540","7.68","33","629","215","28","85","1,733"
"2020-06-05","3,386","17,894","8.26","28","623","248","30","92","1,985"
"2020-06-06","2,310","4,938","2.29","9","1,241","199","0","0","766"
"2020-06-07","3,127","15,735","7.3","35","654","217","20","83","1,719"
"2020-06-08","3,225","14,771","6.84","36","593","236","7","79","1,771"
"2020-06-09","3,178","15,675","7.26","18","553","249","3","88","1,813"
"2020-06-10","2,856","8,419","3.9","15","591","289","22","25","1,441"
"2020-06-11","3,224","16,802","7.8","67","510","200","17","93","1,747"
"2020-06-12","3,127","15,258","7.08","53","436","233","21","71","1,686"
"2020-06-13","3,440","17,797","8.26","35","458","298","35","73","2,088"
"2020-06-14","2,877","13,787","6.4","51","457","180","9","81","1,420"
"2020-06-15","3,317","15,789","7.33","48","505","243","33","90","1,926"
"2020-06-16","3,024","10,888","5.06","49","1,063","356","9","12","1,639"
"2020-06-17","3,215","17,392","8.06","98","694","223","22","91","1,829"
"2020-06-18","2,641","6,872","3.19","8","629","270","10","1","1,153"
"2020-06-19","3,186","15,745","7.31","28","495","272","17","77","1,823"
"2020-06-20","3,322","17,496","8.11","82","533","279","35","66","1,948"
"2020-06-21","3,066","15,145","7.03","20","557","218","15","89","1,708"
"2020-06-22","3,030","14,846","6.89","57","611","197","38","80","1,647"
"2020-06-23","3,230","17,200","7.93","91","619","273","11","91","1,921"
"2020-06-24","2,979","14,852","6.89","89","661","189","26","73","1,531"
"2020-06-25","2,766","8,355","3.88","36","742","248","9","18","1,238"
"2020-06-26","3,380","15,888","7.37","47","525","228","31","88","1,900"
"2020-06-27","3,237","16,591","7.6","58","538","277","11","76","1,863"
"2020-06-28","3,121","18,426","7.93","94","599","246","23","45","1,553"
"2020-06-29","2,608","6,823","3.05","7","765","206","38","6","1,078"
"2020-06-30","4,276","20,151","9.32","82","389","210","61","199","3,025"

