Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-09-01","2,783","10,085","4.68","0","1,117","238","20","24","1,273"
"2017-09-02","2,282","3,836","1.78","0","816","176","0","0","662"
"2017-09-03","2,653","9,699","4.5","0","1,160","135","10","56","1,053"
"2017-09-04","2,426","6,099","2.83","0","558","213","0","0","861"
"2017-09-05","2,619","8,653","4.02","0","1,106","150","25","38","1,030"
"2017-09-06","3,332","17,500","8.12","0","618","268","36","80","1,955"
"2017-09-07","2,766","9,659","4.48","0","695","249","16","20","1,258"
"2017-09-08","2,871","11,785","5.47","0","853","189","36","49","1,356"
"2017-09-09","2,032","3,022","1.38","0","1,380","29","27","4","301"
"2017-09-10","1,806","0","0","0","1,440","0","0","0","0"
"2017-09-11","1,806","0","0","0","1,440","0","0","0","0"
"2017-09-12","1,817","41","0.02","0","1,336","4","0","0","13"
"2017-09-13","2,908","12,129","5.63","0","807","195","43","52","1,407"
"2017-09-14","3,294","16,517","7.67","0","714","334","41","43","1,966"
"2017-09-15","3,248","15,627","7.25","0","675","365","43","32","1,963"
"2017-09-16","3,191","15,959","7.41","0","633","237","131","28","1,839"
"2017-09-17","2,919","12,982","6.03","0","982","197","11","67","1,422"
"2017-09-18","2,652","8,534","3.96","0","714","296","10","0","1,205"
"2017-09-19","3,157","16,849","7.82","0","599","196","29","99","1,747"
"2017-09-20","2,947","12,676","5.88","0","530","329","16","23","1,586"
"2017-09-21","2,899","12,857","5.97","0","541","238","3","61","1,464"
"2017-09-22","2,915","13,008","6.04","0","577","275","25","30","1,509"
"2017-09-23","2,855","10,665","4.95","0","610","347","29","5","1,505"
"2017-09-24","2,762","11,936","5.54","0","795","181","5","66","1,281"
"2017-09-25","2,555","7,910","3.67","0","1,108","218","9","12","1,016"
"2017-09-26","2,864","11,182","5.19","0","543","243","33","15","1,297"
"2017-09-27","3,073","16,193","7.52","0","601","174","57","82","1,648"
"2017-09-28","2,584","8,762","4.07","0","662","198","45","8","1,073"
"2017-09-29","2,884","12,192","5.66","0","633","314","30","10","1,513"
"2017-09-30","2,698","9,568","4.44","0","560","315","10","0","1,299"

