Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-05-01","2,628","8,624","4","0","733","234","4","19","1,145"
"2017-05-02","2,843","11,449","5.31","0","666","230","32","35","1,409"
"2017-05-03","2,642","9,235","4.29","0","749","211","14","24","1,148"
"2017-05-04","2,865","11,817","5.49","0","846","243","21","38","1,438"
"2017-05-05","2,662","8,229","3.82","0","1,150","261","13","16","1,218"
"2017-05-06","2,782","10,885","5.05","0","828","209","33","40","1,329"
"2017-05-07","3,353","19,090","8.86","0","903","242","142","29","2,062"
"2017-05-08","2,879","11,282","5.24","0","505","285","28","23","1,495"
"2017-05-09","2,745","10,141","4.71","0","685","218","38","28","1,295"
"2017-05-10","2,911","11,083","5.14","0","721","286","30","37","1,547"
"2017-05-11","2,940","12,418","5.76","0","1,102","274","37","27","1,558"
"2017-05-12","2,615","8,970","4.16","0","1,198","195","23","24","1,112"
"2017-05-13","3,271","17,108","7.94","0","1,054","286","37","63","1,946"
"2017-05-14","3,077","14,989","6.97","0","951","268","88","13","1,734"
"2017-05-15","2,770","11,066","5.14","0","694","177","44","42","1,294"
"2017-05-16","2,738","10,138","4.71","0","683","227","20","28","1,277"
"2017-05-17","2,740","10,166","4.72","0","734","237","29","18","1,290"
"2017-05-18","1,989","1,609","0.75","0","826","70","0","0","268"
"2017-05-19","3,038","13,263","6.16","0","702","273","54","40","1,692"
"2017-05-20","2,244","4,033","1.87","0","779","163","0","0","642"
"2017-05-21","3,121","15,912","7.39","0","353","197","127","35","1,765"
"2017-05-22","2,892","12,860","5.97","0","719","193","32","55","1,435"
"2017-05-23","2,844","11,463","5.32","0","718","224","41","37","1,416"
"2017-05-24","2,996","13,926","6.46","0","717","210","37","63","1,578"
"2017-05-25","2,890","12,221","5.67","0","740","247","25","35","1,469"
"2017-05-26","2,985","12,931","6","0","651","267","26","45","1,603"
"2017-05-27","2,481","6,091","2.83","0","617","251","6","0","997"
"2017-05-28","3,001","14,032","6.51","0","775","230","16","62","1,581"
"2017-05-29","2,703","8,817","4.09","0","1,008","315","0","0","1,292"
"2017-05-30","3,091","14,419","6.69","0","632","336","21","23","1,761"
"2017-05-31","3,084","14,649","6.8","0","734","251","29","61","1,705"

