Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-03-01","3,860","22,885","6.62","83","466","353","53","88","2,590"
"2020-03-02","2,669","8,524","3.96","13","501","267","17","3","1,202"
"2020-03-03","3,160","13,143","5.91","64","560","345","44","24","1,851"
"2020-03-04","2,652","8,230","3.82","14","712","191","43","17","1,166"
"2020-03-05","3,462","14,890","6.91","38","472","221","65","84","2,127"
"2020-03-06","3,508","15,751","6.96","45","439","349","88","34","2,227"
"2020-03-07","2,976","10,011","4.65","5","612","255","43","41","1,586"
"2020-03-08","3,020","11,072","5.14","4","571","309","46","23","1,685"
"2020-03-09","2,914","9,507","4.37","9","570","242","47","16","1,447"
"2020-03-10","3,538","18,264","8.45","43","546","248","34","110","2,190"
"2020-03-11","2,802","9,514","4.4","19","839","54","6","7","298"
"2020-03-12","2,757","7,917","3.68","11","1,440","0","0","0","0"
"2020-03-13","3,118","11,770","5.46","15","1,440","0","0","0","0"
"2020-03-14","3,157","11,201","5.19","22","1,440","0","0","0","0"
"2020-03-15","3,483","14,739","6.01","30","1,440","0","0","0","0"
"2020-03-16","3,467","19,206","8.91","16","1,440","0","0","0","0"
"2020-03-17","2,654","6,691","3.11","17","1,440","0","0","0","0"
"2020-03-18","3,203","10,476","4.86","13","1,440","0","0","0","0"
"2020-03-19","2,411","5,711","2.64","4","1,440","0","0","0","0"
"2020-03-20","2,478","5,944","2.76","1","1,440","0","0","0","0"
"2020-03-21","2,244","3,952","1.83","2","1,440","0","0","0","0"
"2020-03-22","4,294","22,558","9.46","35","1,440","0","0","0","0"
"2020-03-23","3,368","17,425","8.09","49","1,440","0","0","0","0"
"2020-03-24","3,719","19,947","9.26","80","1,440","0","0","0","0"
"2020-03-25","3,391","15,539","6.98","41","1,440","0","0","0","0"
"2020-03-26","2,696","10,835","5","46","1,440","0","0","0","0"
"2020-03-27","3,323","18,015","8.36","139","1,440","0","0","0","0"
"2020-03-28","3,354","13,148","6.1","19","1,440","0","0","0","0"
"2020-03-29","2,466","6,053","2.81","14","1,440","0","0","0","0"
"2020-03-30","3,403","13,928","6.47","37","1,440","0","0","0","0"
"2020-03-31","3,272","16,667","7.73","76","1,440","0","0","0","0"

