Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-04-01","2,653","7,384","3.42","25","1,440","0","0","0","0"
"2020-04-02","2,302","5,051","2.34","3","1,440","0","0","0","0"
"2020-04-03","3,294","14,304","6.47","63","1,440","0","0","0","0"
"2020-04-04","2,134","3,178","1.48","0","1,440","0","0","0","0"
"2020-04-05","3,614","18,159","7.69","164","1,440","0","0","0","0"
"2020-04-06","3,478","16,137","5.61","89","1,440","0","0","0","0"
"2020-04-07","4,074","19,511","8.18","57","1,440","0","0","0","0"
"2020-04-08","3,471","15,102","6.99","18","1,440","0","0","0","0"
"2020-04-09","3,013","10,488","4.87","18","1,440","0","0","0","0"
"2020-04-10","2,954","11,490","5.27","3","1,440","0","0","0","0"
"2020-04-11","3,146","12,320","5.72","32","1,440","0","0","0","0"
"2020-04-12","2,663","8,688","4.03","16","1,440","0","0","0","0"
"2020-04-13","3,031","11,461","5.32","6","1,440","0","0","0","0"
"2020-04-14","2,651","10,028","4.65","16","1,440","0","0","0","0"
"2020-04-15","3,053","14,848","6.89","16","1,440","0","0","0","0"
"2020-04-16","2,596","7,387","3.43","11","1,440","0","0","0","0"
"2020-04-17","3,472","18,569","8.62","15","1,440","0","0","0","0"
"2020-04-18","3,102","14,195","6.59","39","1,440","0","0","0","0"
"2020-04-19","2,535","10,221","4.74","13","1,440","0","0","0","0"
"2020-04-20","2,872","12,167","5.65","12","1,440","0","0","0","0"
"2020-04-21","3,498","17,927","8.32","62","1,440","0","0","0","0"
"2020-04-22","2,998","13,866","6.44","54","1,440","0","0","0","0"
"2020-04-23","3,167","15,579","7.23","41","1,440","0","0","0","0"
"2020-04-24","2,850","8,394","3.9","5","1,440","0","0","0","0"
"2020-04-25","3,141","15,312","7.11","23","1,440","0","0","0","0"
"2020-04-26","2,931","13,924","6.46","45","1,440","0","0","0","0"
"2020-04-27","3,155","15,572","7.23","63","1,440","0","0","0","0"
"2020-04-28","2,407","5,578","2.59","4","1,440","0","0","0","0"
"2020-04-29","2,703","8,772","4.01","23","1,440","0","0","0","0"
"2020-04-30","3,420","17,377","8.06","63","1,440","0","0","0","0"

