Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-09-01","2,760","10,154","4.71","0","531","391","10","0","1,489"
"2018-09-02","2,849","13,375","6.21","0","609","230","10","71","1,467"
"2018-09-03","2,527","8,009","3.72","0","540","273","29","1","1,141"
"2018-09-04","2,320","5,450","2.53","0","771","215","0","0","797"
"2018-09-05","2,618","9,064","4.21","0","750","297","3","11","1,228"
"2018-09-06","2,295","5,336","2.48","0","711","207","9","1","800"
"2018-09-07","2,475","6,708","3.11","0","717","298","0","0","1,068"
"2018-09-08","2,854","13,844","6.43","0","598","223","6","72","1,460"
"2018-09-09","3,114","17,141","7.96","0","524","290","37","68","1,843"
"2018-09-10","2,442","7,945","3.69","0","772","195","6","16","928"
"2018-09-11","2,409","7,459","3.46","0","777","171","28","10","881"
"2018-09-12","2,648","10,726","4.98","0","729","237","40","7","1,226"
"2018-09-13","2,661","10,947","5.08","0","1,090","213","51","16","1,228"
"2018-09-14","2,782","12,482","5.79","0","672","230","38","28","1,360"
"2018-09-15","2,449","7,259","3.37","0","674","206","31","4","960"
"2018-09-16","2,466","7,747","3.6","0","850","223","23","1","980"
"2018-09-17","3,002","13,830","6.42","0","961","286","25","37","1,510"
"2018-09-18","3,026","15,698","7.29","0","576","272","19","68","1,699"
"2018-09-19","2,926","14,191","6.59","0","644","248","19","65","1,557"
"2018-09-20","2,595","8,282","3.84","0","650","337","0","0","1,238"
"2018-09-21","3,201","16,534","7.67","0","490","424","42","28","2,035"
"2018-09-22","3,105","16,075","7.46","0","567","307","31","65","1,818"
"2018-09-23","3,027","15,350","7.12","0","637","296","16","66","1,718"
"2018-09-24","3,094","16,367","7.6","0","556","314","18","68","1,820"
"2018-09-25","2,522","8,011","3.72","0","687","267","14","8","1,108"
"2018-09-26","2,719","11,023","5.12","0","626","285","22","11","1,332"
"2018-09-27","2,632","9,631","4.47","0","538","315","22","0","1,285"
"2018-09-28","3,221","16,410","7.62","0","581","479","23","7","2,060"
"2018-09-29","2,794","11,969","5.56","0","697","262","12","45","1,416"
"2018-09-30","3,060","16,174","7.51","0","579","230","8","97","1,700"

