Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-10-01","3,602","17,015","6.41","0","531","417","75","29","2,426"
"2021-10-02","3,714","15,556","6.61","0","481","274","91","59","2,202"
"2021-10-03","4,031","17,691","7.71","0","387","399","111","62","2,918"
"2021-10-04","3,802","18,005","8.36","0","475","238","67","132","2,516"
"2021-10-05","3,422","17,300","8.03","0","534","269","34","100","2,126"
"2021-10-06","2,368","6,380","2.96","0","646","225","10","3","907"
"2021-10-07","3,776","14,633","6.75","0","478","321","75","63","2,323"
"2021-10-08","2,747","8,041","3.68","0","624","245","27","15","1,302"
"2021-10-09","2,408","6,626","3.08","0","694","167","17","27","909"
"2021-10-10","4,297","20,487","9.15","0","410","264","126","141","3,139"
"2021-10-11","2,941","10,146","4.58","0","542","252","5","25","1,329"
"2021-10-12","3,729","16,367","7.57","0","468","310","51","74","2,335"
"2021-10-13","3,423","11,388","5.29","0","1,018","306","67","49","2,129"
"2021-10-14","3,699","19,332","8.97","0","468","264","33","121","2,383"
"2021-10-15","3,573","17,809","8.26","0","443","278","55","110","2,330"
"2021-10-16","3,145","10,937","5.08","0","548","244","84","33","1,798"
"2021-10-17","3,664","15,971","7.41","0","658","246","46","124","2,375"
"2021-10-18","3,087","10,745","4.99","0","523","308","53","29","1,776"
"2021-10-19","3,922","15,938","7.4","0","454","349","53","90","2,550"
"2021-10-20","3,070","12,141","5.64","0","543","302","10","37","1,707"
"2021-10-21","3,595","16,690","7.75","0","472","250","43","121","2,322"
"2021-10-22","3,862","19,585","9.09","0","513","228","50","143","2,523"
"2021-10-23","2,519","6,669","3.1","0","619","202","20","16","1,036"
"2021-10-24","2,490","5,953","2.76","0","649","237","6","3","954"
"2021-10-25","2,450","5,664","2.63","0","707","193","12","11","931"
"2021-10-26","4,170","20,386","8.29","0","389","334","75","113","2,947"
"2021-10-27","3,585","19,934","9.25","0","541","226","55","135","2,319"
"2021-10-28","3,599","18,840","8.74","0","495","232","52","133","2,330"
"2021-10-29","4,099","17,387","8.07","0","509","239","75","149","2,858"
"2021-10-30","3,609","19,027","8.83","0","521","240","42","129","2,337"
"2021-10-31","3,451","18,021","8.36","0","668","260","32","97","2,149"

