Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-03-01","3,027","12,122","5.63","8","552","222","18","61","1,514"
"2021-03-02","3,065","13,521","6.27","25","706","228","18","73","1,665"
"2021-03-03","3,517","18,231","8.45","70","411","329","27","70","2,187"
"2021-03-04","2,980","13,865","6.43","27","535","203","13","85","1,595"
"2021-03-05","3,350","16,746","7.77","28","533","281","29","80","2,025"
"2021-03-06","2,705","9,274","4.3","8","588","214","10","43","1,248"
"2021-03-07","2,985","13,981","6.49","45","546","227","1","74","1,575"
"2021-03-08","3,173","17,216","7.99","66","550","218","40","66","1,723"
"2021-03-09","2,816","8,568","3.98","10","568","274","25","17","1,395"
"2021-03-10","3,244","16,524","7.67","107","527","270","24","51","1,748"
"2021-03-11","3,112","14,236","6.61","21","531","249","12","71","1,716"
"2021-03-12","3,290","16,383","7.6","19","462","299","25","74","1,964"
"2021-03-13","2,266","4,588","2.13","2","670","215","0","0","770"
"2021-03-14","2,081","3,269","1.52","1","830","134","0","0","487"
"2021-03-15","2,415","6,016","2.79","0","612","233","6","8","941"
"2021-03-16","3,217","16,076","7.46","21","622","181","6","84","1,604"
"2021-03-17","2,421","5,944","2.76","11","625","221","3","5","909"
"2021-03-18","3,027","15,059","6.94","25","556","248","17","72","1,679"
"2021-03-19","3,165","14,871","6.9","19","606","229","19","89","1,738"
"2021-03-20","3,234","13,768","6.39","21","605","282","53","50","1,906"
"2021-03-21","2,463","5,482","2.55","8","702","219","17","1","951"
"2021-03-22","2,638","7,941","3.69","9","698","343","0","0","1,258"
"2021-03-23","3,606","14,461","6.72","41","450","347","72","63","2,372"
"2021-03-24","3,009","10,513","4.88","7","497","414","16","5","1,734"
"2021-03-25","3,711","14,102","6.55","35","452","376","76","48","2,470"
"2021-03-26","3,246","12,812","5.95","34","469","448","25","2","2,021"
"2021-03-27","2,397","5,720","2.66","17","899","227","10","0","904"
"2021-03-28","3,330","15,108","7.01","22","487","321","12","82","2,008"
"2021-03-29","3,270","15,393","7.1","86","618","189","30","103","1,854"
"2021-03-30","2,935","13,953","6.47","21","594","253","15","64","1,518"
"2021-03-31","2,947","8,216","3.81","13","616","258","54","32","1,553"
