Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-04-01","2,327","4,994","2.32","0","706","222","0","0","810"
"2018-04-02","2,854","12,982","6.03","0","542","237","29","47","1,455"
"2018-04-03","2,355","5,337","2.48","0","752","231","0","0","850"
"2018-04-04","3,018","15,635","7.26","0","678","199","22","93","1,622"
"2018-04-05","2,668","9,288","4.31","0","638","316","8","2","1,274"
"2018-04-06","2,555","7,707","3.58","0","690","288","4","5","1,132"
"2018-04-07","3,378","20,168","9.36","0","632","267","27","112","2,094"
"2018-04-08","2,575","9,702","4.5","0","680","163","41","31","1,082"
"2018-04-09","2,934","14,239","6.61","0","600","229","34","61","1,553"
"2018-04-10","2,706","10,136","4.7","0","696","260","27","21","1,293"
"2018-04-11","3,419","19,898","9.24","0","453","313","45","91","2,176"
"2018-04-12","2,736","9,898","4.59","0","559","351","7","1","1,389"
"2018-04-13","2,687","11,104","5.15","0","680","189","17","45","1,206"
"2018-04-14","2,509","7,919","3.68","0","662","223","8","17","1,031"
"2018-04-15","2,355","5,813","2.7","0","699","221","0","0","838"
"2018-04-16","2,974","14,512","6.74","0","563","269","11","61","1,610"
"2018-04-17","3,100","15,171","7.04","0","692","314","22","58","1,784"
"2018-04-18","2,500","7,394","3.43","0","651","227","24","11","1,033"
"2018-04-19","2,846","12,136","5.63","0","504","315","35","10","1,501"
"2018-04-20","2,747","11,134","5.17","0","716","244","21","32","1,320"
"2018-04-21","2,632","8,898","4.13","0","473","282","28","2","1,230"
"2018-04-22","3,076","16,337","7.58","0","539","238","22","79","1,705"
"2018-04-23","2,864","12,114","5.62","0","572","332","41","2","1,536"
"2018-04-24","2,654","9,678","4.49","0","731","262","16","18","1,233"
"2018-04-25","2,510","9,074","4.21","0","635","138","49","20","972"
"2018-04-26","3,176","17,208","7.99","0","533","197","49","80","1,695"
"2018-04-27","3,300","20,162","9.36","0","580","208","148","45","2,002"
"2018-04-28","2,516","8,356","3.88","0","600","208","42","3","1,038"
"2018-04-29","2,904","13,487","6.26","0","629","260","96","14","1,581"
"2018-04-30","2,896","13,714","6.37","0","572","223","30","59","1,494"

