Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-11-01","3,040","16,852","7.82","0","667","199","30","99","1,685"
"2018-11-02","2,939","13,639","6.34","0","928","336","29","22","1,636"
"2018-11-03","3,132","18,082","8.39","0","492","210","73","84","1,825"
"2018-11-04","2,623","8,649","4.01","0","777","270","3","7","1,126"
"2018-11-05","3,111","17,428","8.09","0","1,006","321","81","32","1,903"
"2018-11-06","2,466","7,528","3.49","0","993","236","15","11","1,022"
"2018-11-07","2,792","11,993","5.57","0","553","299","45","12","1,458"
"2018-11-08","2,349","5,839","2.71","0","652","225","0","0","857"
"2018-11-09","2,668","9,990","4.63","0","699","303","12","6","1,290"
"2018-11-10","2,718","12,207","5.67","0","992","170","32","61","1,280"
"2018-11-11","3,069","15,872","7.37","0","460","303","33","55","1,779"
"2018-11-12","2,510","7,956","3.69","0","777","274","0","0","1,075"
"2018-11-13","2,654","9,903","4.6","0","1,060","269","31","14","1,273"
"2018-11-14","2,796","13,035","6.05","0","538","181","38","64","1,369"
"2018-11-15","2,768","10,277","4.77","0","668","377","11","1","1,467"
"2018-11-16","2,938","13,991","6.51","0","578","313","46","31","1,661"
"2018-11-17","3,304","20,936","9.72","0","781","232","152","54","2,095"
"2018-11-18","2,494","8,097","3.76","0","481","238","19","5","1,055"
"2018-11-19","2,079","2,976","1.38","0","244","144","0","0","510"
"2018-11-20","2,162","4,536","2.11","0","850","128","1","11","582"
"2018-11-21","2,375","7,226","3.35","0","1,001","199","8","2","872"
"2018-11-22","2,588","9,987","4.64","0","536","200","7","42","1,132"
"2018-11-23","2,486","7,690","3.57","0","686","262","6","2","1,053"
"2018-11-24","2,676","10,296","4.78","0","1,103","304","29","4","1,336"
"2018-11-25","2,737","12,183","5.65","0","1,148","222","22","48","1,341"
"2018-11-26","2,764","10,716","4.97","0","913","346","24","7","1,460"
"2018-11-27","2,849","13,345","6.19","0","656","256","37","38","1,488"
"2018-11-28","3,324","19,722","9.15","0","959","319","96","54","2,136"
"2018-11-29","2,848","11,659","5.4","0","472","396","7","3","1,577"
"2018-11-30","3,549","24,066","11.17","0","522","243","101","109","2,348"

