Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-01-01","2,479","6,338","2.94","0","556","282","0","0","1,039"
"2021-01-02","3,367","16,801","7.8","15","596","226","16","103","2,014"
"2021-01-03","2,573","7,521","3.49","0","696","218","43","10","1,140"
"2021-01-04","3,383","20,065","9.31","40","494","185","15","134","2,000"
"2021-01-05","3,133","17,035","7.91","25","581","201","9","101","1,719"
"2021-01-06","2,385","5,898","2.74","3","837","158","14","21","818"
"2021-01-07","3,100","15,339","7.12","19","588","175","26","66","1,475"
"2021-01-08","3,088","16,405","7.61","24","599","217","15","89","1,699"
"2021-01-09","2,996","16,374","7.6","19","521","214","12","85","1,618"
"2021-01-10","3,072","15,827","7.34","17","513","239","16","85","1,694"
"2021-01-11","3,099","16,170","7.5","19","511","256","10","90","1,750"
"2021-01-12","3,182","15,830","7.35","18","605","207","18","110","1,821"
"2021-01-13","2,777","10,503","4.86","13","622","214","24","44","1,303"
"2021-01-14","3,010","14,887","6.91","67","555","217","6","88","1,615"
"2021-01-15","2,472","6,725","3.12","35","638","236","8","3","1,002"
"2021-01-16","3,437","17,860","8.29","25","524","240","19","86","1,962"
"2021-01-17","2,929","14,883","6.91","19","674","183","15","84","1,474"
"2021-01-18","3,252","14,173","6.56","15","597","232","37","72","1,802"
"2021-01-19","2,988","15,650","7.26","30","576","201","18","83","1,555"
"2021-01-20","2,996","15,634","7.25","35","567","186","27","91","1,574"
"2021-01-21","3,088","16,925","7.85","21","697","231","5","17","1,075"
"2021-01-22","2,494","6,805","3.16","0","655","273","0","0","1,040"
"2021-01-23","3,010","15,138","7.02","23","620","203","8","90","1,604"
"2021-01-24","2,729","12,355","5.73","17","701","104","10","84","1,213"
"2021-01-25","2,347","6,094","2.83","3","740","174","0","0","620"
"2021-01-26","2,274","5,058","2.35","3","704","194","9","6","773"
"2021-01-27","3,143","15,228","7.04","14","669","187","6","93","1,697"
"2021-01-28","2,918","13,978","6.48","17","1,171","173","11","85","1,451"
"2021-01-29","3,027","10,412","4.83","6","644","298","37","28","1,594"
"2021-01-30","3,155","15,928","7.39","12","514","205","14","92","1,671"
"2021-01-31","2,934","13,958","6.48","20","587","174","3","86","1,492"

