Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-07-02","2,644","7,146","3.32","0","546","272","7","10","1,171"
"2021-07-03","2,692","7,532","3.5","0","631","280","26","5","1,249"
"2021-07-04","3,172","14,975","6.95","0","551","229","9","98","1,759"
"2021-07-05","3,176","14,403","6.69","0","579","262","1","72","1,806"
"2021-07-06","3,310","15,463","7.18","0","571","267","19","76","1,972"
"2021-07-07","3,722","17,011","7.87","0","457","265","71","111","2,453"
"2021-07-08","3,705","21,156","9.81","0","563","253","55","128","2,415"
"2021-07-09","3,234","14,614","6.77","0","593","282","20","53","1,849"
"2021-07-10","2,519","6,154","2.86","0","635","270","0","0","1,028"
"2021-07-11","3,173","14,324","6.65","0","647","231","11","75","1,719"
"2021-07-12","3,035","11,082","5.14","0","481","346","23","24","1,679"
"2021-07-13","3,184","14,490","6.73","0","646","264","5","73","1,787"
"2021-07-14","3,622","15,899","7.37","0","468","241","30","123","2,257"
"2021-07-15","2,951","11,149","5.13","0","715","280","36","39","1,585"
"2021-07-16","3,236","13,037","6.05","0","417","393","30","31","1,940"
"2021-07-17","2,800","9,276","4.31","0","741","310","18","4","1,392"
"2021-07-18","2,525","7,277","3.34","0","654","267","8","4","1,108"
"2021-07-19","3,667","17,245","8","0","388","444","61","40","2,541"
"2021-07-20","3,547","18,531","8.6","0","537","251","12","125","2,253"
"2021-07-21","3,022","9,931","4.61","0","529","312","41","20","1,676"
"2021-07-22","3,630","17,855","8.29","0","560","228","14","111","2,245"
"2021-07-23","3,836","18,371","8.53","0","369","465","43","65","2,732"
"2021-07-24","2,859","9,655","4.48","0","614","357","20","10","1,563"
"2021-07-25","2,989","9,528","4.41","0","500","351","25","3","1,642"
"2021-07-26","2,944","10,206","4.74","0","545","312","17","21","1,582"
"2021-07-27","3,094","14,826","6.88","0","593","194","21","89","1,684"
"2021-07-28","3,492","14,154","6.54","0","368","243","79","86","2,223"
"2021-07-29","2,712","10,327","4.79","0","637","259","13","30","1,280"
"2021-07-30","2,821","7,740","3.59","0","548","293","32","16","1,426"
"2021-07-31","3,328","15,558","7.19","0","561","270","9","83","1,978"
