Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-07-01","2,338","6,345","2.95","0","761","229","15","1","900"
"2019-07-02","2,900","15,029","6.98","0","517","253","53","51","1,603"
"2019-07-03","2,410","7,295","3.39","0","584","218","6","20","959"
"2019-07-04","2,790","13,255","6.15","0","669","219","5","78","1,419"
"2019-07-05","2,412","7,068","3.28","0","741","249","12","1","979"
"2019-07-06","3,112","17,716","8.22","0","546","296","24","79","1,858"
"2019-07-07","2,751","11,699","5.43","0","501","332","46","1","1,471"
"2019-07-08","3,015","16,794","7.8","0","553","258","32","74","1,719"
"2019-07-09","2,799","12,536","5.82","0","650","361","28","3","1,527"
"2019-07-10","2,564","8,957","4.16","0","613","263","9","26","1,175"
"2019-07-11","2,542","8,956","4.16","0","634","279","14","11","1,172"
"2019-07-12","3,094","18,398","8.54","0","646","212","41","92","1,770"
"2019-07-13","2,767","13,578","6.3","0","655","198","12","74","1,385"
"2019-07-14","2,563","7,713","3.58","0","658","356","0","0","1,247"
"2019-07-15","2,774","13,678","6.35","0","591","172","19","80","1,366"
"2019-07-16","2,970","15,747","7.31","0","532","271","37","63","1,690"
"2019-07-17","2,653","10,355","4.81","0","615","291","15","21","1,299"
"2019-07-18","2,485","8,222","3.82","0","616","271","22","1","1,101"
"2019-07-19","2,994","15,891","7.38","0","639","275","12","77","1,693"
"2019-07-20","3,302","20,722","9.62","0","608","278","41","105","2,081"
"2019-07-21","2,440","6,765","3.14","0","578","299","0","0","1,058"
"2019-07-22","3,004","17,184","7.98","0","641","181","53","93","1,662"
"2019-07-23","2,818","13,767","6.39","0","677","215","11","74","1,434"
"2019-07-24","2,677","11,017","5.11","0","656","244","19","46","1,310"
"2019-07-25","2,496","8,201","3.81","0","602","293","13","0","1,126"
"2019-07-26","2,786","13,588","6.31","0","735","189","18","75","1,382"
"2019-07-27","2,771","13,207","6.13","0","631","212","6","75","1,392"
"2019-07-28","2,431","6,702","3.11","0","698","295","0","0","1,046"
"2019-07-29","2,689","12,424","5.77","0","572","208","23","53","1,306"
"2019-07-30","3,176","19,220","8.92","0","473","279","134","33","1,984"
"2019-07-31","2,357","7,121","3.31","0","624","194","13","16","887"

