Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-05-01","2,615","10,548","4.9","0","713","251","21","19","1,211"
"2019-05-02","2,813","14,230","6.61","0","816","201","14","75","1,425"
"2019-05-03","2,622","10,629","4.93","0","894","221","19","41","1,209"
"2019-05-04","3,126","17,963","8.34","0","637","278","37","80","1,856"
"2019-05-05","2,836","14,155","6.57","0","636","237","19","63","1,486"
"2019-05-06","2,497","9,422","4.37","0","879","158","20","41","1,007"
"2019-05-07","2,414","7,148","3.32","0","735","259","14","0","1,002"
"2019-05-08","2,327","5,805","2.69","0","730","251","0","0","891"
"2019-05-09","2,497","8,483","3.94","0","838","273","9","0","1,082"
"2019-05-10","2,614","10,040","4.66","0","703","257","55","6","1,247"
"2019-05-11","2,710","12,935","6","0","832","198","5","65","1,304"
"2019-05-12","2,274","5,433","2.52","0","730","214","0","0","785"
"2019-05-13","3,139","17,780","8.25","0","649","327","45","55","1,911"
"2019-05-14","2,952","15,202","7.06","0","667","283","19","65","1,653"
"2019-05-15","2,778","12,926","6","0","856","227","5","67","1,393"
"2019-05-16","2,731","11,920","5.53","0","788","246","9","56","1,363"
"2019-05-17","2,701","11,160","5.18","0","684","260","36","35","1,355"
"2019-05-18","2,908","15,454","7.17","0","911","137","23","80","1,261"
"2019-05-19","2,581","11,208","5.2","0","1,440","0","0","0","0"
"2019-05-20","2,730","12,771","5.93","0","1,440","0","0","0","0"
"2019-05-21","2,280","5,273","2.45","0","1,440","0","0","0","0"
"2019-05-22","2,583","8,810","4.09","0","1,440","0","0","0","0"
"2019-05-23","2,679","10,302","4.78","0","1,440","0","0","0","0"
"2019-05-24","2,628","10,046","4.66","0","1,440","0","0","0","0"
"2019-05-25","2,898","14,195","6.59","0","1,440","0","0","0","0"
"2019-05-26","2,227","4,554","2.11","0","1,440","0","0","0","0"
"2019-05-27","2,760","12,661","5.88","0","1,440","0","0","0","0"
"2019-05-28","2,497","8,463","3.93","0","1,440","0","0","0","0"
"2019-05-29","2,527","8,774","4.07","0","1,440","0","0","0","0"
"2019-05-30","2,937","14,707","6.83","0","1,440","0","0","0","0"
"2019-05-31","2,921","15,429","7.16","0","1,440","0","0","0","0"
