Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-12-01","2,654","8,289","3.85","3","738","235","24","17","1,145"
"2020-12-02","3,073","15,303","7.08","16","544","202","16","97","1,681"
"2020-12-03","3,177","16,350","7.59","18","532","219","26","92","1,773"
"2020-12-04","4,282","21,263","9.84","25","335","288","123","128","3,097"
"2020-12-05","2,988","14,525","6.74","16","577","197","7","63","1,350"
"2020-12-06","3,274","16,871","7.83","16","520","263","6","98","1,933"
"2020-12-07","3,400","17,770","8.25","28","504","242","23","102","2,033"
"2020-12-08","2,726","10,084","4.66","6","577","264","4","28","1,319"
"2020-12-09","3,184","15,003","6.96","41","575","239","22","86","1,812"
"2020-12-10","2,970","8,121","3.77","15","490","272","27","29","1,514"
"2020-12-11","2,300","4,473","2.08","1","986","205","0","0","727"
"2020-12-12","2,957","12,564","5.81","18","511","266","10","58","1,566"
"2020-12-13","2,735","11,796","5.47","16","673","206","12","54","1,284"
"2020-12-14","3,500","18,141","8.42","27","452","266","15","104","2,185"
"2020-12-15","3,158","16,167","7.5","20","512","238","13","97","1,809"
"2020-12-16","2,382","5,197","2.41","1","710","224","0","0","846"
"2020-12-17","3,114","12,355","5.74","20","505","262","21","65","1,702"
"2020-12-18","3,281","18,611","8.64","23","510","272","23","88","1,953"
"2020-12-19","3,105","14,780","6.86","23","601","206","10","94","1,682"
"2020-12-20","3,117","15,059","6.99","16","541","245","5","76","1,709"
"2020-12-21","2,776","7,451","3.46","18","525","249","16","24","1,286"
"2020-12-22","3,013","14,355","6.66","31","525","183","16","87","1,528"
"2020-12-23","2,682","6,880","3.19","15","566","256","23","9","1,205"
"2020-12-24","3,120","14,917","6.92","29","613","190","3","96","1,652"
"2020-12-25","2,491","5,544","2.57","2","624","254","0","0","951"
"2020-12-26","3,194","15,861","7.36","23","650","246","16","83","1,842"
"2020-12-27","3,316","17,298","8.03","21","535","264","1","63","1,622"
"2020-12-28","2,593","7,346","3.41","9","430","249","15","1","1,071"
"2020-12-29","2,755","8,941","4.15","20","503","280","17","13","1,315"
"2020-12-30","2,365","5,885","2.73","8","732","209","0","0","775"
"2020-12-31","3,261","16,465","7.64","16","558","234","22","93","1,878"

