Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-07-01","3,339","17,672","8.19","47","527","249","41","84","1,969"
"2020-07-02","2,962","14,707","6.82","38","679","224","11","67","1,526"
"2020-07-03","2,788","11,994","5.54","43","656","173","21","58","1,353"
"2020-07-04","3,059","14,782","6.84","56","1,144","198","19","79","1,572"
"2020-07-05","3,126","16,313","7.57","43","549","231","31","73","1,725"
"2020-07-06","3,208","15,606","7.22","39","656","255","7","87","1,794"
"2020-07-07","3,963","24,441","11.32","85","556","183","65","179","2,688"
"2020-07-08","3,106","16,021","7.43","40","684","202","18","87","1,612"
"2020-07-09","2,991","10,012","4.55","2","494","295","50","30","1,660"
"2020-07-10","3,491","18,132","8.41","45","489","335","23","80","2,213"
"2020-07-11","3,032","8,459","3.78","5","591","239","38","47","1,593"
"2020-07-12","2,873","14,673","6.81","34","648","167","28","81","1,436"
"2020-07-13","4,017","18,622","8.58","100","437","264","70","140","2,754"
"2020-07-14","3,601","16,584","7.66","39","389","375","60","59","2,412"
"2020-07-15","2,653","9,534","4.43","7","640","333","3","17","1,330"
"2020-07-16","3,223","17,104","7.94","64","630","211","25","92","1,789"
"2020-07-17","2,187","3,552","1.65","0","688","172","0","0","613"
"2020-07-18","2,658","8,250","3.83","5","660","244","33","14","1,178"
"2020-07-19","2,832","13,647","6.32","31","633","134","15","89","1,339"
"2020-07-20","2,770","8,598","3.99","7","558","331","0","0","1,349"
"2020-07-21","4,296","25,931","11.98","129","349","281","102","150","3,094"
"2020-07-22","3,602","20,456","9.49","93","614","325","27","78","2,178"
"2020-07-23","2,592","5,385","2.39","5","706","191","21","23","1,089"
"2020-07-24","3,297","17,880","8.3","63","547","201","59","87","1,848"
"2020-07-25","3,169","16,653","7.73","26","617","238","12","74","1,666"
"2020-07-26","2,649","9,645","4.48","5","652","219","5","32","1,139"
"2020-07-27","3,669","18,483","8.56","106","438","202","76","126","2,371"
"2020-07-28","3,354","14,511","6.7","36","459","263","47","90","2,059"
"2020-07-29","3,438","18,224","8.46","57","598","292","36","77","2,054"
"2020-07-30","2,265","4,455","2.07","0","787","170","12","5","729"
"2020-07-31","2,995","11,126","5.17","14","552","312","35","9","1,580"
