Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-05-01","2,973","13,062","6.06","55","1,440","0","0","0","0"
"2020-05-02","2,512","6,588","3.06","0","1,440","0","0","0","0"
"2020-05-03","2,922","14,914","6.92","40","1,440","0","0","0","0"
"2020-05-04","2,341","5,805","2.7","1","1,440","0","0","0","0"
"2020-05-05","2,689","7,988","3.69","23","1,440","0","0","0","0"
"2020-05-06","3,127","13,975","6.49","17","1,440","0","0","0","0"
"2020-05-07","2,443","5,734","2.66","1","1,440","0","0","0","0"
"2020-05-08","3,460","18,734","8.69","19","1,440","0","0","0","0"
"2020-05-09","3,374","18,224","8.46","65","1,440","0","0","0","0"
"2020-05-10","2,285","4,862","2.26","9","1,246","194","0","0","745"
"2020-05-11","2,712","8,152","3.79","5","1,114","326","0","0","1,309"
"2020-05-12","3,487","17,356","8.05","15","1,022","298","32","88","2,173"
"2020-05-13","2,669","9,140","3.93","68","1,149","270","9","12","1,224"
"2020-05-14","2,525","6,574","3.05","20","1,164","259","17","0","1,084"
"2020-05-15","2,318","5,365","2.49","0","1,230","189","14","7","831"
"2020-05-16","2,748","8,611","3.97","47","1,145","254","28","13","1,304"
"2020-05-17","2,437","6,086","2.65","3","1,187","245","7","1","972"
"2020-05-18","3,192","15,128","7.02","16","533","284","22","75","1,841"
"2020-05-19","3,160","12,380","5.71","23","671","234","67","50","1,789"
"2020-05-20","3,352","17,700","8.21","29","501","272","39","74","1,941"
"2020-05-21","2,532","7,004","3.25","10","742","186","41","13","1,045"
"2020-05-22","3,432","17,460","8.1","32","518","258","42","63","1,940"
"2020-05-23","3,502","12,776","5.88","27","513","230","125","61","2,206"
"2020-05-24","3,020","15,302","7.1","50","339","255","14","56","1,570"
"2020-05-25","2,251","4,424","2.05","5","677","207","0","0","737"
"2020-05-26","2,578","7,286","3.38","9","552","270","4","6","1,129"
"2020-05-27","2,906","10,145","4.62","7","695","351","22","10","1,576"
"2020-05-28","3,027","14,974","6.95","59","589","202","10","86","1,635"
"2020-05-29","2,749","8,618","4","20","771","220","13","32","1,269"
"2020-05-30","2,552","6,829","3.17","9","660","290","6","0","1,113"
"2020-05-31","2,904","10,020","4.65","23","551","285","34","18","1,520"
