Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-08-01","2,632","9,043","4.2","0","708","159","20","36","1,045"
"2017-08-02","2,762","10,517","4.88","0","861","183","28","40","1,216"
"2017-08-03","2,825","10,906","5.06","0","1,090","246","23","23","1,342"
"2017-08-04","3,600","21,804","10.12","0","642","319","70","71","2,331"
"2017-08-05","2,515","6,958","3.23","0","1,137","229","11","1","979"
"2017-08-06","3,394","18,109","8.4","0","538","400","81","3","2,161"
"2017-08-07","2,644","9,336","4.33","0","1,124","159","27","34","1,070"
"2017-08-08","2,883","12,682","5.89","0","714","164","29","62","1,354"
"2017-08-09","2,565","8,680","4.03","0","961","166","19","18","985"
"2017-08-10","2,457","7,046","3.27","0","1,275","132","12","21","815"
"2017-08-11","2,791","11,421","5.3","0","1,202","158","32","48","1,237"
"2017-08-12","3,421","17,795","8.26","0","503","392","81","24","2,196"
"2017-08-13","1,892","747","0.35","0","943","29","0","0","112"
"2017-08-14","2,677","9,922","4.61","0","1,127","156","35","30","1,102"
"2017-08-15","2,660","9,562","4.44","0","922","194","17","23","1,106"
"2017-08-16","2,831","11,774","5.47","0","1,076","166","36","49","1,292"
"2017-08-17","2,590","8,015","3.72","0","717","190","14","19","1,008"
"2017-08-18","2,731","10,862","5.04","0","812","140","29","50","1,152"
"2017-08-19","3,117","14,319","6.65","0","923","382","26","8","1,807"
"2017-08-20","2,352","6,039","2.8","0","926","114","19","20","717"
"2017-08-21","2,841","11,292","5.24","0","1,153","222","26","36","1,346"
"2017-08-22","2,903","12,325","5.72","0","646","204","27","46","1,389"
"2017-08-23","2,781","10,856","5.04","0","836","177","23","45","1,234"
"2017-08-24","2,603","7,839","3.64","0","1,178","215","14","12","1,046"
"2017-08-25","2,185","3,119","1.45","0","426","133","0","0","511"
"2017-08-26","2,309","5,461","2.53","0","802","110","11","18","650"
"2017-08-27","2,786","10,426","4.84","0","706","205","18","46","1,266"
"2017-08-28","2,663","9,162","4.25","0","1,210","162","34","34","1,098"
"2017-08-29","2,822","10,687","4.96","0","1,036","238","20","34","1,342"
"2017-08-30","2,825","10,735","4.98","0","757","247","13","24","1,313"
"2017-08-31","2,828","10,030","4.66","0","755","288","15","22","1,378"

