Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-07-01","3,202","18,341","8.51","0","508","319","31","69","1,953"
"2018-07-02","2,316","5,563","2.58","0","771","202","17","1","814"
"2018-07-03","3,006","14,697","6.82","0","498","317","9","56","1,703"
"2018-07-04","2,994","14,687","6.82","0","650","298","7","71","1,688"
"2018-07-05","2,512","7,187","3.34","0","632","295","10","0","1,111"
"2018-07-06","3,324","20,180","9.37","0","583","304","115","42","2,119"
"2018-07-07","2,650","10,549","4.9","0","693","253","43","10","1,267"
"2018-07-08","2,918","13,867","6.44","0","565","282","41","45","1,603"
"2018-07-09","2,759","12,597","5.85","0","594","205","20","60","1,348"
"2018-07-10","2,700","9,957","4.62","0","524","313","8","17","1,345"
"2018-07-11","2,469","7,359","3.42","0","690","222","8","20","996"
"2018-07-12","2,411","6,459","3","0","679","262","0","0","966"
"2018-07-13","2,876","13,091","6.08","0","466","288","73","21","1,582"
"2018-07-14","2,508","7,736","3.59","0","586","272","8","4","1,086"
"2018-07-15","2,410","6,784","3.15","0","694","244","6","1","945"
"2018-07-16","2,816","13,306","6.18","0","642","222","20","57","1,413"
"2018-07-17","2,595","10,021","4.65","0","637","216","17","25","1,145"
"2018-07-18","2,696","11,542","5.36","0","730","227","55","22","1,317"
"2018-07-19","3,290","19,404","9.01","0","824","396","34","23","2,086"
"2018-07-20","3,446","22,391","10.39","0","545","371","24","39","2,208"
"2018-07-21","2,776","12,439","5.77","0","591","233","40","39","1,403"
"2018-07-22","2,480","7,741","3.59","0","585","251","21","5","1,058"
"2018-07-23","2,525","8,412","3.9","0","662","250","39","0","1,118"
"2018-07-24","2,944","14,774","6.86","0","566","281","109","7","1,674"
"2018-07-25","2,657","9,952","4.62","0","604","278","14","21","1,265"
"2018-07-26","2,918","14,691","6.82","0","646","236","19","68","1,553"
"2018-07-27","3,092","16,397","7.61","0","366","376","30","21","1,854"
"2018-07-28","2,385","5,841","2.71","0","571","265","0","0","943"
"2018-07-29","2,814","13,763","6.39","0","654","183","21","76","1,408"
"2018-07-30","3,022","15,470","7.18","0","511","332","90","6","1,781"
"2018-07-31","2,536","9,407","4.37","0","673","182","44","21","1,077"

