Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-01-01","2,870","11,793","5.48","0","526","221","15","54","1,424"
"2017-01-02","3,258","15,305","7.1","0","469","448","20","1","2,036"
"2017-01-03","2,891","12,460","5.78","0","764","229","38","34","1,459"
"2017-01-04","2,923","12,779","5.93","0","638","246","24","38","1,496"
"2017-01-05","2,702","9,835","4.56","0","710","205","30","25","1,218"
"2017-01-06","3,185","16,508","7.66","0","667","225","49","68","1,804"
"2017-01-07","2,973","12,403","5.76","0","488","281","21","43","1,594"
"2017-01-08","2,845","12,481","5.79","0","579","171","15","63","1,347"
"2017-01-09","2,793","11,253","5.22","0","807","198","38","38","1,327"
"2017-01-10","2,730","10,313","4.8","0","623","205","34","25","1,246"
"2017-01-11","2,919","12,376","5.74","0","614","275","11","29","1,500"
"2017-01-12","2,820","10,625","4.93","0","636","279","17","19","1,403"
"2017-01-13","3,066","13,792","6.4","0","603","294","25","38","1,700"
"2017-01-14","2,716","9,712","4.51","0","493","250","7","17","1,248"
"2017-01-15","2,885","12,113","5.62","0","652","219","13","59","1,440"
"2017-01-16","2,678","9,568","4.44","0","646","208","21","23","1,182"
"2017-01-17","2,574","8,645","4.01","0","716","179","28","15","1,040"
"2017-01-18","2,876","12,526","5.81","0","722","198","33","46","1,412"
"2017-01-19","2,604","8,370","3.89","0","704","215","12","17","1,095"
"2017-01-20","2,807","10,670","4.95","0","670","271","9","20","1,366"
"2017-01-21","3,469","20,294","9.42","0","614","246","43","99","2,141"
"2017-01-22","2,519","7,765","3.6","0","1,104","154","18","31","964"
"2017-01-23","2,683","9,674","4.49","0","700","198","22","32","1,184"
"2017-01-24","2,904","12,323","5.72","0","567","225","30","44","1,467"
"2017-01-25","3,029","12,112","5.62","0","531","346","21","28","1,714"
"2017-01-26","2,950","12,063","5.6","0","637","277","31","38","1,569"
"2017-01-27","3,030","13,672","6.35","0","741","268","26","46","1,640"
"2017-01-28","2,548","8,286","3.85","0","1,138","155","34","24","1,002"
"2017-01-29","3,162","15,494","7.19","0","523","247","44","69","1,801"
"2017-01-30","2,879","11,500","5.34","0","669","259","26","34","1,467"
"2017-01-31","2,975","12,874","5.98","0","633","238","39","52","1,571"

