Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-11-01","3,129","14,410","6.69","14","659","229","1","46","1,312"
"2020-11-02","3,133","16,153","7.5","49","625","198","26","99","1,763"
"2020-11-03","3,107","12,437","5.77","5","476","368","18","38","1,784"
"2020-11-04","3,182","16,641","7.72","43","737","222","20","81","1,711"
"2020-11-05","3,750","19,198","8.83","63","402","158","93","145","2,404"
"2020-11-06","2,781","10,217","4.72","12","438","312","20","10","1,422"
"2020-11-07","3,138","15,872","7.37","42","505","245","18","78","1,726"
"2020-11-08","2,585","9,785","4.54","52","747","177","8","45","1,102"
"2020-11-09","2,366","5,880","2.73","1","644","230","0","0","881"
"2020-11-10","2,805","8,465","3.93","5","609","293","26","5","1,379"
"2020-11-11","2,721","8,463","3.93","3","479","288","8","10","1,282"
"2020-11-12","3,268","17,349","8.05","20","574","235","9","94","1,890"
"2020-11-13","3,452","17,897","8.3","38","450","335","18","85","2,173"
"2020-11-14","2,458","5,893","2.74","6","772","234","15","0","987"
"2020-11-15","3,007","14,786","6.86","35","562","228","16","79","1,642"
"2020-11-16","3,289","15,889","7.18","20","477","287","13","76","1,930"
"2020-11-17","3,810","19,038","8.84","52","443","208","67","145","2,509"
"2020-11-18","3,197","15,709","7.29","64","529","206","19","92","1,728"
"2020-11-19","3,348","18,997","8.81","48","504","219","24","93","1,849"
"2020-11-20","3,206","15,680","7.27","11","618","247","13","79","1,780"
"2020-11-21","2,984","14,012","6.49","19","610","163","19","87","1,487"
"2020-11-22","2,985","14,660","6.8","17","682","164","17","94","1,530"
"2020-11-23","2,696","8,755","4.06","8","669","248","16","28","1,286"
"2020-11-24","2,750","8,143","3.78","1","637","312","10","2","1,293"
"2020-11-25","3,317","16,539","7.67","22","714","200","28","107","1,915"
"2020-11-26","3,084","15,548","7.21","19","513","220","14","84","1,714"
"2020-11-27","2,868","13,145","6.1","19","1,187","161","3","89","1,399"
"2020-11-28","3,209","16,292","7.56","19","360","297","16","80","1,854"
"2020-11-29","2,992","12,679","5.88","67","708","219","4","65","1,502"
"2020-11-30","3,257","16,673","7.74","24","518","214","21","101","1,881"
