Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-10-01","2,826","11,950","5.55","23","621","208","13","61","1,379"
"2020-10-02","2,735","8,881","4.12","54","573","255","29","13","1,326"
"2020-10-03","2,674","7,949","3.69","7","569","291","17","1","1,235"
"2020-10-04","2,896","14,210","6.59","21","583","200","17","77","1,482"
"2020-10-05","2,792","12,014","5.57","40","665","205","10","58","1,363"
"2020-10-06","3,082","13,452","6.24","35","664","258","18","56","1,648"
"2020-10-07","3,178","15,930","7.39","44","538","321","19","51","1,814"
"2020-10-08","2,482","5,980","2.78","13","621","267","0","0","996"
"2020-10-09","3,454","18,427","8.55","71","538","266","47","90","2,109"
"2020-10-10","3,734","21,301","9.85","64","360","318","69","92","2,508"
"2020-10-11","2,909","12,795","5.94","47","669","209","23","64","1,501"
"2020-10-12","3,444","15,170","7.04","27","441","339","59","52","2,192"
"2020-10-13","3,141","12,111","5.62","17","653","267","51","49","1,817"
"2020-10-14","2,552","7,474","3.47","21","625","257","3","7","1,037"
"2020-10-15","3,271","13,597","6.31","70","613","239","57","64","1,877"
"2020-10-16","3,339","18,255","8.47","22","495","267","18","89","1,957"
"2020-10-17","3,532","17,870","8.3","64","515","252","70","80","2,198"
"2020-10-18","2,753","12,000","5.57","6","643","266","4","47","1,378"
"2020-10-19","2,819","9,957","4.57","7","453","353","0","0","1,410"
"2020-10-20","2,569","7,616","3.52","5","632","268","12","12","1,163"
"2020-10-21","2,490","6,110","2.84","7","646","231","15","0","1,004"
"2020-10-22","2,421","6,336","2.88","5","707","213","20","6","941"
"2020-10-23","2,810","7,313","3.4","10","573","268","43","10","1,336"
"2020-10-24","2,629","7,809","3.63","20","667","263","13","15","1,178"
"2020-10-25","2,497","6,710","3.11","7","648","235","6","17","991"
"2020-10-26","2,462","5,711","2.65","1","684","196","28","6","960"
"2020-10-27","2,308","4,750","2.21","9","820","146","12","5","717"
"2020-10-28","2,822","8,488","3.94","8","1,157","220","42","21","1,347"
"2020-10-29","2,598","7,940","3.69","3","588","265","1","9","1,116"
"2020-10-30","2,953","10,830","5.02","21","603","319","28","9","1,540"
"2020-10-31","2,823","12,940","6","25","661","174","29","71","1,386"

