Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-08-01","3,263","17,467","8.11","66","545","223","40","83","1,840"
"2020-08-02","2,954","15,069","6.99","70","570","217","19","63","1,470"
"2020-08-03","3,784","19,470","9.02","89","428","324","47","85","2,454"
"2020-08-04","2,968","13,294","6.17","34","665","199","13","72","1,474"
"2020-08-05","2,769","9,771","4.54","10","719","234","0","0","892"
"2020-08-06","3,062","14,838","6.89","22","620","235","29","56","1,596"
"2020-08-07","3,169","17,898","8.31","74","555","242","43","72","1,777"
"2020-08-08","3,209","16,473","7.64","27","553","233","14","103","1,860"
"2020-08-09","3,243","17,549","8.14","64","656","244","18","67","1,735"
"2020-08-10","3,519","19,435","8.94","102","520","206","45","132","2,196"
"2020-08-11","3,408","19,174","8.9","77","575","224","37","99","2,055"
"2020-08-12","2,831","8,684","4.03","3","525","283","20","11","1,369"
"2020-08-13","4,113","20,752","9.51","86","465","242","79","159","2,874"
"2020-08-14","2,768","8,552","3.97","2","581","241","48","10","1,295"
"2020-08-15","3,012","15,329","7.11","60","472","234","13","61","1,565"
"2020-08-16","3,187","16,089","7.47","87","471","210","16","99","1,771"
"2020-08-17","3,037","14,998","6.96","45","740","163","14","96","1,572"
"2020-08-18","3,450","15,128","6.95","157","533","355","22","58","2,177"
"2020-08-19","2,829","10,196","4.73","4","654","192","27","5","1,003"
"2020-08-20","4,223","21,983","10.17","103","367","246","59","165","2,943"
"2020-08-21","2,899","9,590","4.45","2","561","275","22","18","1,388"
"2020-08-22","3,464","16,910","7.82","81","526","295","89","52","2,172"
"2020-08-23","3,194","17,391","8.06","41","515","243","32","76","1,829"
"2020-08-24","2,604","7,920","3.67","16","709","207","32","15","1,145"
"2020-08-25","3,429","17,438","8.06","44","550","228","36","106","2,015"
"2020-08-26","2,368","5,764","2.68","10","755","183","3","7","781"
"2020-08-27","3,115","15,858","7.36","47","663","207","14","95","1,709"
"2020-08-28","3,415","11,983","5.56","23","594","375","31","29","2,069"
"2020-08-29","3,921","21,326","9.84","90","481","268","78","108","2,654"
"2020-08-30","3,054","15,822","7.34","59","490","201","19","84","1,627"
"2020-08-31","2,868","14,375","6.67","75","706","173","20","66","1,358"

