Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-03-01","3,131","17,809","8.27","0","510","382","84","5","1,964"
"2019-03-02","2,627","11,113","5.16","0","652","271","27","5","1,260"
"2019-03-03","2,874","13,543","6.29","0","489","377","40","8","1,657"
"2019-03-04","2,926","15,398","7.15","0","520","246","77","50","1,642"
"2019-03-05","3,138","19,316","8.97","0","376","228","90","70","1,883"
"2019-03-06","2,678","12,017","5.58","0","554","263","35","14","1,322"
"2019-03-07","2,866","13,258","6.15","0","531","357","38","14","1,623"
"2019-03-08","2,511","8,552","3.97","0","562","266","13","11","1,126"
"2019-03-09","2,512","8,797","4.08","0","581","275","14","6","1,139"
"2019-03-10","3,207","20,462","9.5","0","421","250","63","77","1,953"
"2019-03-11","2,430","7,952","3.69","0","634","228","17","12","1,012"
"2019-03-12","2,851","13,444","6.24","0","472","327","64","16","1,616"
"2019-03-13","2,552","9,865","4.58","0","554","256","12","8","1,156"
"2019-03-14","2,887","14,030","6.51","0","546","350","45","12","1,640"
"2019-03-15","3,176","18,587","8.63","0","448","348","54","53","2,000"
"2019-03-16","2,854","13,041","6.05","0","505","352","61","12","1,637"
"2019-03-17","2,840","13,998","6.5","0","520","275","54","40","1,560"
"2019-03-18","2,612","9,618","4.46","0","674","329","32","0","1,322"
"2019-03-19","3,126","18,993","8.82","0","891","248","61","79","1,867"
"2019-03-20","2,851","14,610","6.78","0","561","244","45","55","1,538"
"2019-03-21","2,871","14,214","6.6","0","415","318","60","21","1,631"
"2019-03-22","3,342","22,042","10.23","0","430","252","74","108","2,134"
"2019-03-23","3,098","17,759","8.24","0","410","313","59","58","1,895"
"2019-03-24","2,627","10,351","4.8","0","550","289","54","2","1,314"
"2019-03-25","2,857","13,135","6.1","0","616","352","28","22","1,607"
"2019-03-26","2,858","15,107","7.01","0","586","217","61","56","1,540"
"2019-03-27","2,801","12,438","5.77","0","656","361","30","4","1,539"
"2019-03-28","2,729","11,351","5.27","0","518","306","44","12","1,429"
"2019-03-29","3,021","15,252","7.08","0","423","468","0","0","1,856"
"2019-03-30","2,694","11,337","5.28","0","569","309","17","8","1,357"
"2019-03-31","2,848","13,242","6.15","0","511","318","54","19","1,582"

