Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-10-01","2,488","8,575","3.98","0","633","272","14","0","1,100"
"2019-10-02","2,625","10,240","4.75","0","545","326","19","0","1,310"
"2019-10-03","2,693","11,198","5.2","0","539","295","30","18","1,372"
"2019-10-04","2,712","12,677","5.88","0","710","218","54","31","1,349"
"2019-10-05","2,678","10,967","5.09","0","993","280","48","10","1,334"
"2019-10-06","2,459","8,551","3.97","0","447","247","15","2","1,045"
"2019-10-07","2,752","12,533","5.82","0","623","277","51","6","1,407"
"2019-10-08","3,025","15,383","7.14","0","505","364","84","6","1,830"
"2019-10-09","2,770","12,197","5.66","0","525","351","14","3","1,480"
"2019-10-10","3,028","17,107","7.94","0","533","232","30","83","1,703"
"2019-10-11","2,505","8,573","3.98","0","550","295","0","0","1,128"
"2019-10-12","3,465","22,363","10.38","0","402","256","73","94","2,081"
"2019-10-13","2,923","14,025","6.51","0","603","360","73","2","1,712"
"2019-10-14","3,424","23,123","10.73","0","812","294","109","62","2,251"
"2019-10-15","3,330","22,197","10.3","0","444","191","99","117","2,096"
"2019-10-16","2,706","11,723","5.44","0","577","266","53","16","1,373"
"2019-10-17","3,176","18,845","8.75","0","517","274","51","81","1,926"
"2019-10-18","2,871","13,607","6.32","0","667","254","12","1","979"
"2019-10-19","2,695","11,762","5.46","0","567","273","24","21","1,345"
"2019-10-20","2,865","13,353","6.2","0","545","335","68","3","1,612"
"2019-10-21","3,147","18,166","8.43","0","470","295","59","64","1,914"
"2019-10-22","2,517","7,985","3.71","0","611","319","0","0","1,160"
"2019-10-23","2,555","9,014","4.18","0","588","261","20","17","1,172"
"2019-10-24","2,548","8,833","4.1","0","524","311","0","0","1,186"
"2019-10-25","3,537","23,888","11.09","0","399","246","104","72","2,067"
"2019-10-26","2,451","7,667","3.56","0","637","275","0","0","1,033"
"2019-10-27","2,903","13,695","6.36","0","512","341","67","9","1,663"
"2019-10-28","2,624","9,915","4.6","0","507","326","6","2","1,292"
"2019-10-29","3,316","20,472","9.5","0","393","305","65","92","2,144"
"2019-10-30","2,584","9,289","4.31","0","566","312","12","2","1,238"
"2019-10-31","3,129","17,097","7.94","0","428","438","54","3","1,997"

